"","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"220604_01",0,0.541698546289212,0.91259572665853,0.554344577694722,0.498363301639777,0.336614355370103,0.412097229763933,0.503123940625712,0.809406693729304,0.882375332110344,0.504973221117062,0.477213737131124,0.488812689524257,0.504433291451114,0.451968671335206,0.541480692777785,0.458608844323483,0.479955968715012,0.619672800763282,0.836480072473216,0.871452653317658,0.583156006002997,0.898604033433904,0.661614894159653,0.806485388156911,0.698913559447252,0.776374026027496,0.712650545484474,0.624610641764813,0.624818014986815,0.560186066771038,0.613262635149343,0.816630140183886,0.351422707477418,0.688420714654004,0.703627421211593,0.868155912864551,0.911451476427758,0.518445979881807,0.657816854234242,0.367804614318919,0.48614798647796,0.329243661796929,0.342958027818962,0.342210550959155,0.353255232326363,0.626628084278912
"220604_02",0.541698546289212,0,0.901697485948281,0.516273372789861,0.499502414355249,0.464237335119358,0.7248004335971,0.536640960159881,0.787451167672595,0.861772739375962,0.401447847796371,0.577689758842886,0.614036990516325,0.241085505118615,0.45362570545738,0.542120350365528,0.51532847335328,0.793037353682055,0.625580434030919,0.837656271262446,0.87140224769373,0.58986866666146,0.863590780539122,0.809990827902486,0.734263148532796,0.805799493844236,0.821670947483951,0.857873358124346,0.691645029121056,0.845838219000457,0.82663483879044,0.787377985831155,0.959739932988868,0.692559825114708,0.876169871943451,0.853251667086811,0.904999154653804,0.876343408375067,0.449989282683927,0.839863648893412,0.385718208128796,0.823255854208077,0.647507117916678,0.710092238799407,0.702088841570852,0.705763195990424,0.425514090433435
"220604_03",0.91259572665853,0.901697485948281,0,0.819362596919757,0.790612290433938,0.863735464919576,0.82687431688332,0.780324085998119,0.910886955743567,0.83929204686672,0.898744993227466,0.851245312582525,0.81094279310312,0.812692450013398,0.845571351219357,0.709220605984657,0.750100837891228,0.870038455863015,0.79540077718136,0.706589293525439,0.831576376403542,0.716749294410359,0.746806623455008,0.847855354659249,0.539154477931148,0.739611619912352,0.869679362842014,0.835568435576193,0.779394013458177,0.89508913170526,0.88443309033701,0.892713919163582,0.824425638245209,0.841160115747912,0.870067818403242,0.78469365425872,0.893366017266375,0.704701615691355,0.721281405454065,0.795594067319115,0.871588211808374,0.929622594462207,0.860594484777432,0.861432202515662,0.819502333866937,0.831282866774644,0.627727378660072
"220604_04",0.554344577694722,0.516273372789861,0.819362596919757,0,0.529450560244726,0.469294824743652,0.669987733435537,0.576895371871061,0.747173834011903,0.708012307957834,0.31586800163062,0.526019975517852,0.577519785888333,0.469556451013337,0.480898792070307,0.493141296929897,0.491100950425465,0.806756534074164,0.552129830604263,0.857914114689447,0.726314055685127,0.524384853396199,0.913960837079396,0.764942193408968,0.576072633643584,0.492899419637584,0.602021571178347,0.702877307625253,0.619769026806724,0.858621318147858,0.873127346478039,0.765014948620204,0.94297173309892,0.736606573621022,0.8875433966936,0.750158315922238,0.835519664310333,0.82515189016142,0.53075201018849,0.769576644431696,0.556687509692945,0.814300873222399,0.626823480162131,0.667194645973186,0.62485155732432,0.672748826393348,0.603974173455769
"220604_05",0.498363301639777,0.499502414355249,0.790612290433938,0.529450560244726,0,0.314631941183479,0.626718933155335,0.372569192285968,0.701887871892603,0.810003868435894,0.501556473526985,0.373351642152833,0.480200419622055,0.421232820067143,0.368568668272305,0.402528478900993,0.3943336865538,0.765347469199809,0.490393912001599,0.632205223418924,0.706687286888148,0.418873250378734,0.762482282793048,0.510975299210593,0.663998287903169,0.601428907755212,0.737336720256794,0.707617708437957,0.579930488741712,0.791721942331916,0.608774061040214,0.702679144421307,0.90564475404954,0.596782633777337,0.775444386843271,0.693744899643177,0.782953423426859,0.771519832115606,0.498433181833804,0.627588542446032,0.595027388644015,0.748748575851927,0.51739441135807,0.59281417666845,0.567919134050514,0.525057523811736,0.642647692373338
"220604_06",0.336614355370103,0.464237335119358,0.863735464919576,0.469294824743652,0.314631941183479,0,0.481350763005816,0.350518150127393,0.766479513386565,0.78085870227408,0.406720751482052,0.303469531571668,0.44039375399671,0.386700027800945,0.301015986604613,0.4114445219268,0.344516487754132,0.623677859148618,0.448535102213965,0.688424763793478,0.719657980566461,0.468332838570749,0.817899612360405,0.490052821795941,0.687183172738511,0.570050668071216,0.725528311460347,0.650796314325683,0.590599092921461,0.697383389913881,0.603410401199543,0.662208771829971,0.908706879084736,0.476797937196215,0.720374722163078,0.581073321192433,0.745631445266416,0.789141356139216,0.442304164300175,0.682206471537787,0.455107963260656,0.663941675610596,0.489107997211172,0.522443589612659,0.513351184961646,0.527260664847943,0.568057376043215
"220604_07",0.412097229763933,0.7248004335971,0.82687431688332,0.669987733435537,0.626718933155335,0.481350763005816,0,0.457286707453708,0.806913008961879,0.766666206194181,0.709481626438255,0.480926364483035,0.506572810007834,0.708352248402441,0.589670354886436,0.523045432069226,0.539298818276128,0.348649901975694,0.620660216277746,0.734851606119458,0.733885308363533,0.663271733870559,0.799522495125021,0.605290390304418,0.662823297880646,0.578161873135839,0.689822630526909,0.620233922597614,0.550291956696817,0.675519472933032,0.654092408790329,0.675361958729092,0.832146132458622,0.454624143344238,0.714727356837682,0.552364610108143,0.79679584657392,0.819212362966255,0.651229825997306,0.669568838216443,0.538895835835709,0.566366084474013,0.266922551160661,0.258562171630469,0.257460166988358,0.384699580301754,0.789062551365439
"220606_02",0.503123940625712,0.536640960159881,0.780324085998119,0.576895371871061,0.372569192285968,0.350518150127393,0.457286707453708,0,0.734851075879772,0.781498143240918,0.570168369704198,0.442420473685125,0.323408450920363,0.528406136343615,0.45292935004555,0.359929388613713,0.38325006335759,0.576858888994492,0.516944762591804,0.700559181923458,0.613185452842183,0.558067597929494,0.810347594274918,0.479031550068587,0.635674448716214,0.561151380344047,0.674578789053129,0.614798692746162,0.593919853527788,0.672269112291884,0.667583035372956,0.680446479680569,0.904425612052731,0.45553377671159,0.721242163201826,0.622219845625168,0.834609095002999,0.769720291736473,0.434529820663654,0.639953049651408,0.551473562591684,0.6647798381235,0.461739167905544,0.50500704648014,0.517999220291225,0.374851624283448,0.681740078399709
"220606_04",0.809406693729304,0.787451167672595,0.910886955743567,0.747173834011903,0.701887871892603,0.766479513386565,0.806913008961879,0.734851075879772,0,0.792587272627242,0.759794039344155,0.81203620434158,0.515209075847375,0.76645727263038,0.781641460136845,0.72236841729855,0.791778373547811,0.848508981506061,0.742126349701412,0.8991884011058,0.695974192985898,0.676368813779638,0.973584905660377,0.794166219839142,0.786806228965832,0.833173149881127,0.862203801440268,0.92338955171272,0.782093994563287,0.89423383243071,0.913561847988077,0.812936315714489,0.974576271186441,0.771668593742721,0.708649072380455,0.882512181916622,0.922761705055979,0.899949238451634,0.836946674013279,0.829096507579689,0.850911838251255,0.885612153708668,0.776079989145132,0.777232069182868,0.817461838245979,0.828664028164086,0.858022802772839
"220607_01",0.882375332110344,0.861772739375962,0.83929204686672,0.708012307957834,0.810003868435894,0.78085870227408,0.766666206194181,0.781498143240918,0.792587272627242,0,0.77361056203108,0.681981770888182,0.803050436965944,0.911813643926789,0.621171838284792,0.681395380408318,0.674296504847737,0.676863664532213,0.63164598558464,0.780422761804004,0.737640517836127,0.722360523934172,0.812187235111293,0.825091514143095,0.698849757174535,0.59114664608191,0.736489259306239,0.690466089054763,0.764231859035499,0.874482319209939,0.857683790800727,0.8800479516141,0.956779661016949,0.813709378523945,0.852779554326971,0.752518587050819,0.846952842925264,0.880658745368091,0.878400997060115,0.889723694567855,0.890225439199651,0.931815168610085,0.901622078385936,0.867300454941118,0.888709309112992,0.904398633285189,0.933571398581044
"220607_02",0.504973221117062,0.401447847796371,0.898744993227466,0.31586800163062,0.501556473526985,0.406720751482052,0.709481626438255,0.570168369704198,0.759794039344155,0.77361056203108,0,0.530352480417755,0.61002933888522,0.39259827053441,0.380709943595161,0.507436714869355,0.459706770390675,0.766268113706983,0.475073595955603,0.724033980693597,0.680589696236388,0.438875635140626,0.799302921326174,0.782335944299391,0.643524854679791,0.513503997588986,0.557856900326663,0.640334224459863,0.689772987972077,0.87981113540841,0.805224266808824,0.789411396221446,0.961864406779661,0.664253894794154,0.895218186569114,0.87435026243955,0.897919851373753,0.902073206320829,0.502487075317561,0.833582367056567,0.509025870802481,0.846613545816733,0.674992139761869,0.733739295883927,0.699987908615636,0.720742540881858,0.522066253541313
"220607_03",0.477213737131124,0.577689758842886,0.851245312582525,0.526019975517852,0.373351642152833,0.303469531571668,0.480926364483035,0.442420473685125,0.81203620434158,0.681981770888182,0.530352480417755,0,0.474964794549646,0.552735164324701,0.374256933037008,0.402726637958518,0.340527828303451,0.59163767012889,0.410189711317479,0.593050146056475,0.712183544303797,0.405181535370872,0.67136971578696,0.562725738396624,0.635157799378107,0.543792761910114,0.634770392234773,0.590580715114226,0.516032431191851,0.726449808654695,0.560703135316644,0.684365537663593,0.892646427805192,0.55369848221249,0.706159888268896,0.530886984024727,0.727730008872888,0.771442136117578,0.561475887240817,0.733418941909416,0.543752246136645,0.693025366886883,0.502237557160846,0.563417548248073,0.547104152669631,0.571424643504023,0.675534888186252
"220607_04",0.488812689524257,0.614036990516325,0.81094279310312,0.577519785888333,0.480200419622055,0.44039375399671,0.506572810007834,0.323408450920363,0.515209075847375,0.803050436965944,0.61002933888522,0.474964794549646,0,0.575201190550858,0.521169945772587,0.400494204844116,0.435221113883477,0.61095788450826,0.589627638783409,0.771243546676043,0.823760655257267,0.564569864619374,0.853634625983559,0.631985083903045,0.650863794444451,0.6254427612714,0.696779187697007,0.638376264983571,0.589602332763838,0.701178719337369,0.702532976300411,0.693302410725536,0.908642066342923,0.450893522514057,0.72172030759172,0.610522564769167,0.848637282657718,0.791720192688933,0.554708441206862,0.690649176275774,0.513596665444571,0.635389455230662,0.4273826219661,0.491227984015993,0.475637475339931,0.505792407525751,0.687125051300075
"220609_01",0.504433291451114,0.241085505118615,0.812692450013398,0.469556451013337,0.421232820067143,0.386700027800945,0.708352248402441,0.528406136343615,0.76645727263038,0.911813643926789,0.39259827053441,0.552735164324701,0.575201190550858,0,0.433789481056096,0.491279077209803,0.46386002672478,0.828054706533237,0.59826288554824,0.779576034231707,0.857566942641903,0.553430118318938,0.819989613986498,0.730324159021407,0.750857629584938,0.763552016617622,0.849912782326079,0.804883219415914,0.628539147569511,0.857621810253368,0.799265234690111,0.761297134514313,0.944692893795677,0.683958432975347,0.902865252443407,0.814051052289108,0.904727615928049,0.821786728975892,0.444759526087691,0.761139450241881,0.500435852169131,0.808344237727987,0.608633459820356,0.668836931057946,0.639944321684861,0.66454839617683,0.472655660266932
"220609_02",0.451968671335206,0.45362570545738,0.845571351219357,0.480898792070307,0.368568668272305,0.301015986604613,0.589670354886436,0.45292935004555,0.781641460136845,0.621171838284792,0.380709943595161,0.374256933037008,0.521169945772587,0.433789481056096,0,0.354688532107193,0.275218075858312,0.515725650165391,0.388039466995703,0.645861881861495,0.717115372680444,0.436738140886155,0.649920783522973,0.65864631043257,0.648696088709082,0.503122738941465,0.714921096771985,0.636172865788754,0.552992217360291,0.787705035638811,0.674796646227005,0.709455360531774,0.914292922758442,0.567573532071922,0.781636543881661,0.68982207582339,0.758670839540676,0.820519586699171,0.544021712405751,0.751533392210184,0.563948274616515,0.77333809798972,0.586146836657208,0.647549842502631,0.633499198545922,0.651706603271064,0.588648398288449
"220609_03",0.541480692777785,0.542120350365528,0.709220605984657,0.493141296929897,0.402528478900993,0.4114445219268,0.523045432069226,0.359929388613713,0.72236841729855,0.681395380408318,0.507436714869355,0.402726637958518,0.400494204844116,0.491279077209803,0.354688532107193,0,0.229760905349366,0.565379432089486,0.414597560029313,0.690343808111578,0.717799946357037,0.469918429003572,0.801065099582572,0.63271609317725,0.514721418101219,0.538679186226018,0.623252237247675,0.651038037750853,0.492390498228053,0.754806156723425,0.711675809966682,0.667326019918267,0.865828127536511,0.543033197771609,0.755167683152439,0.618846229907032,0.7885138254804,0.73531433600059,0.520202208429363,0.672152622775605,0.584594920527635,0.73522146485596,0.495245179339647,0.561504895523649,0.521729169490587,0.592811870858989,0.634776424802347
"220609_04",0.458608844323483,0.51532847335328,0.750100837891228,0.491100950425465,0.3943336865538,0.344516487754132,0.539298818276128,0.38325006335759,0.791778373547811,0.674296504847737,0.459706770390675,0.340527828303451,0.435221113883477,0.46386002672478,0.275218075858312,0.229760905349366,0,0.556422095363839,0.383188931190473,0.591767154854129,0.69285935674606,0.43560813161688,0.705859569523599,0.533145650048876,0.525145067698259,0.511779026887687,0.551715257595483,0.531467482951868,0.475744078659452,0.757668246451401,0.621404419659311,0.668613762644251,0.895057739781633,0.540516462592598,0.742245316180935,0.558587252266628,0.724848898925323,0.687393049067742,0.469370037451499,0.68161293681746,0.545230795797602,0.746555323184291,0.532996064342121,0.585429046806477,0.56541809475322,0.58576577968203,0.585284625986767
"220609_07",0.479955968715012,0.793037353682055,0.870038455863015,0.806756534074164,0.765347469199809,0.623677859148618,0.348649901975694,0.576858888994492,0.848508981506061,0.676863664532213,0.766268113706983,0.59163767012889,0.61095788450826,0.828054706533237,0.515725650165391,0.565379432089486,0.556422095363839,0,0.585561429053402,0.725080209789192,0.782868772674984,0.660302502648838,0.69673179698574,0.616593929740731,0.724174458123817,0.540977437000114,0.687179256726755,0.495205092381558,0.713732150189249,0.68806632403107,0.628939765165922,0.743563991597308,0.883977569106679,0.524509385781823,0.720799408503245,0.62884943846214,0.7712701579031,0.871029656927014,0.761581130436364,0.784326803383779,0.61592212185237,0.640486897644358,0.463697601704153,0.413021392231551,0.468771666422572,0.479328309065035,0.873477340300759
"220707_11",0.619672800763282,0.625580434030919,0.79540077718136,0.552129830604263,0.490393912001599,0.448535102213965,0.620660216277746,0.516944762591804,0.742126349701412,0.63164598558464,0.475073595955603,0.410189711317479,0.589627638783409,0.59826288554824,0.388039466995703,0.414597560029313,0.383188931190473,0.585561429053402,0,0.599669481761367,0.58680492894855,0.273321856750853,0.694676818333136,0.617768165433504,0.602906417986523,0.540717106206536,0.673873372620983,0.610700056915196,0.569199194455491,0.835297865562281,0.647548193430239,0.751554910352687,0.909993922614626,0.61018215560237,0.768667760552846,0.64804560857814,0.585907935149396,0.798756792038693,0.69775564700008,0.777355836024255,0.696597548517063,0.818725099601593,0.677501214290184,0.685443641065405,0.690456131550287,0.714140296963498,0.715745305867946
"220707_12",0.836480072473216,0.837656271262446,0.706589293525439,0.857914114689447,0.632205223418924,0.688424763793478,0.734851606119458,0.700559181923458,0.8991884011058,0.780422761804004,0.724033980693597,0.593050146056475,0.771243546676043,0.779576034231707,0.645861881861495,0.690343808111578,0.591767154854129,0.725080209789192,0.599669481761367,0,0.673039320461364,0.632812371065965,0.220863111094781,0.499256085686466,0.549569740789779,0.623240757051291,0.683534479370887,0.641242236506748,0.558967161398177,0.861466433687692,0.532445869133979,0.843601031169674,0.841525423728814,0.79471843172725,0.812908283250588,0.736455179561688,0.539808921106916,0.739295162332213,0.748700164574883,0.808316872469293,0.88180452698282,0.927499350213557,0.822093527123682,0.831850211051243,0.838728613747284,0.834759352492213,0.747653102550943
"220707_13",0.871452653317658,0.87140224769373,0.831576376403542,0.726314055685127,0.706687286888148,0.719657980566461,0.733885308363533,0.613185452842183,0.695974192985898,0.737640517836127,0.680589696236388,0.712183544303797,0.823760655257267,0.857566942641903,0.717115372680444,0.717799946357037,0.69285935674606,0.782868772674984,0.58680492894855,0.673039320461364,0,0.599584100617586,0.772357723577236,0.584065040650406,0.678758000345961,0.540229916172636,0.710569105691057,0.654510413630033,0.712773412252951,0.882586500283608,0.799935783262453,0.864588219895591,0.948305084745763,0.782425923785304,0.66478699696848,0.747554593033748,0.729478617025202,0.8307180870332,0.762515430944187,0.804093910354911,0.932833730860968,0.966645612671266,0.898122845102796,0.885390741662519,0.894831578893078,0.655761806056833,0.941373861569634
"220707_14",0.583156006002997,0.58986866666146,0.716749294410359,0.524384853396199,0.418873250378734,0.468332838570749,0.663271733870559,0.558067597929494,0.676368813779638,0.722360523934172,0.438875635140626,0.405181535370872,0.564569864619374,0.553430118318938,0.436738140886155,0.469918429003572,0.43560813161688,0.660302502648838,0.273321856750853,0.632812371065965,0.599584100617586,0,0.718434747216327,0.648702619414484,0.606235452250598,0.61051066354966,0.677903915648082,0.621167103542686,0.601559528337771,0.841669321439949,0.664906918588497,0.773044593246901,0.93728813559322,0.576515090660805,0.717781330687843,0.71855080032335,0.716904163043808,0.842298069337311,0.655701876175712,0.780497972914538,0.685699620381757,0.843625498007968,0.652966706733678,0.684051295365002,0.673198287066557,0.681286232876913,0.702806721470252
"220707_15",0.898604033433904,0.863590780539122,0.746806623455008,0.913960837079396,0.762482282793048,0.817899612360405,0.799522495125021,0.810347594274918,0.973584905660377,0.812187235111293,0.799302921326174,0.67136971578696,0.853634625983559,0.819989613986498,0.649920783522973,0.801065099582572,0.705859569523599,0.69673179698574,0.694676818333136,0.220863111094781,0.772357723577236,0.718434747216327,0,0.64633962264151,0.629294551293748,0.665815760266371,0.72245536847449,0.612718935578441,0.587258230046578,0.928666141722818,0.63183364733009,0.923435311701124,0.780764310841062,0.851783957793079,0.843718169313369,0.748632662859711,0.65065890255854,0.843821687464672,0.859992114249335,0.904627288249152,0.923995000297601,0.946692475381493,0.894003753827917,0.893445532838078,0.894709879227728,0.934486344704635,0.773689489704758
"220707_16",0.661614894159653,0.809990827902486,0.847855354659249,0.764942193408968,0.510975299210593,0.490052821795941,0.605290390304418,0.479031550068587,0.794166219839142,0.825091514143095,0.782335944299391,0.562725738396624,0.631985083903045,0.730324159021407,0.65864631043257,0.63271609317725,0.533145650048876,0.616593929740731,0.617768165433504,0.499256085686466,0.584065040650406,0.648702619414484,0.64633962264151,0,0.711159252095422,0.630277469478357,0.66562331838565,0.595049136786189,0.56197489539749,0.724734416480833,0.451864878291108,0.747167782685092,0.933050847457627,0.627456556082148,0.71767337339953,0.517258256632377,0.464278366111952,0.739744603807746,0.652987218813906,0.693528827796869,0.761800210304942,0.785413014608234,0.677047120418848,0.67778231292517,0.720960315782054,0.605323196669382,0.861369057745015
