"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220607_01","220607_04","Veragua","Veragua",0.507699866247372,"Veragua vs Veragua"
"220607_02","220607_04","Veragua","Veragua",0.641377701363677,"Veragua vs Veragua"
"220607_03","220607_04","Veragua","Veragua",0.40263369885073,"Veragua vs Veragua"
"220604_01","220609_01","Veragua","Veragua",0.519842436854247,"Veragua vs Veragua"
"220604_02","220609_01","Veragua","Veragua",0.325449318988622,"Veragua vs Veragua"
"220604_03","220609_01","Veragua","Veragua",0.876380133727318,"Veragua vs Veragua"
"220604_04","220609_01","Veragua","Veragua",0.413307182710049,"Veragua vs Veragua"
"220604_05","220609_01","Veragua","Veragua",0.362219109825775,"Veragua vs Veragua"
"220604_06","220609_01","Veragua","Veragua",0.487125835375907,"Veragua vs Veragua"
"220604_07","220609_01","Veragua","Veragua",0.747162173283982,"Veragua vs Veragua"
"220606_02","220609_01","Veragua","Veragua",0.599511275836829,"Veragua vs Veragua"
"220606_04","220609_01","Veragua","Veragua",0.403943829318986,"Veragua vs Veragua"
"220607_01","220609_01","Veragua","Veragua",0.851293584047499,"Veragua vs Veragua"
"220607_02","220609_01","Veragua","Veragua",0.541545346166303,"Veragua vs Veragua"
"220607_03","220609_01","Veragua","Veragua",0.795371088194015,"Veragua vs Veragua"
"220607_04","220609_01","Veragua","Veragua",0.728110750754771,"Veragua vs Veragua"
"220604_01","220609_02","Veragua","Veragua",0.613911291842581,"Veragua vs Veragua"
"220604_02","220609_02","Veragua","Veragua",0.68032366154698,"Veragua vs Veragua"
"220604_03","220609_02","Veragua","Veragua",0.70589664847091,"Veragua vs Veragua"
"220604_04","220609_02","Veragua","Veragua",0.610146991019045,"Veragua vs Veragua"
"220604_05","220609_02","Veragua","Veragua",0.645654247166692,"Veragua vs Veragua"
"220604_06","220609_02","Veragua","Veragua",0.563502474449367,"Veragua vs Veragua"
"220604_07","220609_02","Veragua","Veragua",0.474778933704485,"Veragua vs Veragua"
"220606_02","220609_02","Veragua","Veragua",0.486164083127287,"Veragua vs Veragua"
"220606_04","220609_02","Veragua","Veragua",0.728703933125877,"Veragua vs Veragua"
"220607_01","220609_02","Veragua","Veragua",0.511363673823385,"Veragua vs Veragua"
"220607_02","220609_02","Veragua","Veragua",0.61821547651446,"Veragua vs Veragua"
"220607_03","220609_02","Veragua","Veragua",0.484686519450197,"Veragua vs Veragua"
"220607_04","220609_02","Veragua","Veragua",0.594491568697798,"Veragua vs Veragua"
"220609_01","220609_02","Veragua","Veragua",0.784058311835194,"Veragua vs Veragua"
"220604_01","220609_03","Veragua","Veragua",0.265670425898669,"Veragua vs Veragua"
"220604_02","220609_03","Veragua","Veragua",0.34718545080222,"Veragua vs Veragua"
"220604_03","220609_03","Veragua","Veragua",0.768213445571549,"Veragua vs Veragua"
"220604_04","220609_03","Veragua","Veragua",0.386652875767523,"Veragua vs Veragua"
"220604_05","220609_03","Veragua","Veragua",0.358656174559273,"Veragua vs Veragua"
"220604_06","220609_03","Veragua","Veragua",0.331506282102115,"Veragua vs Veragua"
"220604_07","220609_03","Veragua","Veragua",0.425804617272557,"Veragua vs Veragua"
"220606_02","220609_03","Veragua","Veragua",0.384235774961764,"Veragua vs Veragua"
"220606_04","220609_03","Veragua","Veragua",0.495634369756198,"Veragua vs Veragua"
"220607_01","220609_03","Veragua","Veragua",0.610814687287769,"Veragua vs Veragua"
"220607_02","220609_03","Veragua","Veragua",0.532307263704823,"Veragua vs Veragua"
"220607_03","220609_03","Veragua","Veragua",0.473457585256995,"Veragua vs Veragua"
"220607_04","220609_03","Veragua","Veragua",0.387760466567397,"Veragua vs Veragua"
"220609_01","220609_03","Veragua","Veragua",0.570318251197612,"Veragua vs Veragua"
"220609_02","220609_03","Veragua","Veragua",0.61508794206286,"Veragua vs Veragua"
"220604_01","220609_04","Veragua","Veragua",0.544414336912449,"Veragua vs Veragua"
"220604_02","220609_04","Veragua","Veragua",0.659890567229181,"Veragua vs Veragua"
"220604_03","220609_04","Veragua","Veragua",0.707019991934508,"Veragua vs Veragua"
"220604_04","220609_04","Veragua","Veragua",0.551276281079594,"Veragua vs Veragua"
"220604_05","220609_04","Veragua","Veragua",0.566677852935892,"Veragua vs Veragua"
"220604_06","220609_04","Veragua","Veragua",0.556404114771727,"Veragua vs Veragua"
"220604_07","220609_04","Veragua","Veragua",0.446881889792107,"Veragua vs Veragua"
"220606_02","220609_04","Veragua","Veragua",0.409767289970137,"Veragua vs Veragua"
"220606_04","220609_04","Veragua","Veragua",0.648625060770691,"Veragua vs Veragua"
"220607_01","220609_04","Veragua","Veragua",0.572242477895207,"Veragua vs Veragua"
"220607_02","220609_04","Veragua","Veragua",0.600919113797336,"Veragua vs Veragua"
"220607_03","220609_04","Veragua","Veragua",0.438105566043707,"Veragua vs Veragua"
"220607_04","220609_04","Veragua","Veragua",0.528480576476851,"Veragua vs Veragua"
"220609_01","220609_04","Veragua","Veragua",0.742635240593185,"Veragua vs Veragua"
"220609_02","220609_04","Veragua","Veragua",0.553810849808183,"Veragua vs Veragua"
"220609_03","220609_04","Veragua","Veragua",0.49535064077571,"Veragua vs Veragua"
"220604_01","220609_07","Veragua","Veragua",0.578643779749803,"Veragua vs Veragua"
"220604_02","220609_07","Veragua","Veragua",0.704426515301082,"Veragua vs Veragua"
"220604_03","220609_07","Veragua","Veragua",0.780255709314339,"Veragua vs Veragua"
"220604_04","220609_07","Veragua","Veragua",0.641694720234545,"Veragua vs Veragua"
"220604_05","220609_07","Veragua","Veragua",0.693982348213615,"Veragua vs Veragua"
"220604_06","220609_07","Veragua","Veragua",0.632640887027233,"Veragua vs Veragua"
"220604_07","220609_07","Veragua","Veragua",0.48133663016065,"Veragua vs Veragua"
"220606_02","220609_07","Veragua","Veragua",0.506087144208248,"Veragua vs Veragua"
"220606_04","220609_07","Veragua","Veragua",0.685044209157303,"Veragua vs Veragua"
"220607_01","220609_07","Veragua","Veragua",0.511089897340376,"Veragua vs Veragua"
"220607_02","220609_07","Veragua","Veragua",0.644695487134584,"Veragua vs Veragua"
"220607_03","220609_07","Veragua","Veragua",0.514540016005275,"Veragua vs Veragua"
"220607_04","220609_07","Veragua","Veragua",0.561487451960172,"Veragua vs Veragua"
"220609_01","220609_07","Veragua","Veragua",0.805390826107576,"Veragua vs Veragua"
"220609_02","220609_07","Veragua","Veragua",0.443413813468109,"Veragua vs Veragua"
"220609_03","220609_07","Veragua","Veragua",0.582807825093344,"Veragua vs Veragua"
"220609_04","220609_07","Veragua","Veragua",0.558974621170282,"Veragua vs Veragua"
"220604_01","220707_11","Veragua","Altos de Campana",0.547226268604855,"Veragua vs Altos de Campana"
"220604_02","220707_11","Veragua","Altos de Campana",0.643034030786713,"Veragua vs Altos de Campana"
"220604_03","220707_11","Veragua","Altos de Campana",0.729769126741343,"Veragua vs Altos de Campana"
"220604_04","220707_11","Veragua","Altos de Campana",0.599783138112971,"Veragua vs Altos de Campana"
"220604_05","220707_11","Veragua","Altos de Campana",0.589377976286108,"Veragua vs Altos de Campana"
"220604_06","220707_11","Veragua","Altos de Campana",0.536467873128246,"Veragua vs Altos de Campana"
"220604_07","220707_11","Veragua","Altos de Campana",0.39912161255717,"Veragua vs Altos de Campana"
"220606_02","220707_11","Veragua","Altos de Campana",0.442375018734097,"Veragua vs Altos de Campana"
"220606_04","220707_11","Veragua","Altos de Campana",0.719614850294051,"Veragua vs Altos de Campana"
"220607_01","220707_11","Veragua","Altos de Campana",0.494688562548752,"Veragua vs Altos de Campana"
"220607_02","220707_11","Veragua","Altos de Campana",0.610433788804708,"Veragua vs Altos de Campana"
"220607_03","220707_11","Veragua","Altos de Campana",0.378789459093121,"Veragua vs Altos de Campana"
"220607_04","220707_11","Veragua","Altos de Campana",0.499150025033319,"Veragua vs Altos de Campana"
"220609_01","220707_11","Veragua","Altos de Campana",0.790345571103507,"Veragua vs Altos de Campana"
"220609_02","220707_11","Veragua","Altos de Campana",0.480291859715164,"Veragua vs Altos de Campana"
"220609_03","220707_11","Veragua","Altos de Campana",0.524888475522074,"Veragua vs Altos de Campana"
"220609_04","220707_11","Veragua","Altos de Campana",0.470554144851194,"Veragua vs Altos de Campana"
"220609_07","220707_11","Veragua","Altos de Campana",0.541983850116617,"Veragua vs Altos de Campana"
"220604_01","220707_12","Veragua","Altos de Campana",0.550567507701708,"Veragua vs Altos de Campana"
"220604_02","220707_12","Veragua","Altos de Campana",0.665260269518674,"Veragua vs Altos de Campana"
"220604_03","220707_12","Veragua","Altos de Campana",0.751920077212915,"Veragua vs Altos de Campana"
"220604_04","220707_12","Veragua","Altos de Campana",0.625749821762647,"Veragua vs Altos de Campana"
"220604_05","220707_12","Veragua","Altos de Campana",0.598906143822277,"Veragua vs Altos de Campana"
"220604_06","220707_12","Veragua","Altos de Campana",0.553482415564857,"Veragua vs Altos de Campana"
"220604_07","220707_12","Veragua","Altos de Campana",0.333592192633152,"Veragua vs Altos de Campana"
"220606_02","220707_12","Veragua","Altos de Campana",0.491678485241295,"Veragua vs Altos de Campana"
"220606_04","220707_12","Veragua","Altos de Campana",0.77622761297981,"Veragua vs Altos de Campana"
"220607_01","220707_12","Veragua","Altos de Campana",0.391204733269827,"Veragua vs Altos de Campana"
"220607_02","220707_12","Veragua","Altos de Campana",0.661548926300161,"Veragua vs Altos de Campana"
"220607_03","220707_12","Veragua","Altos de Campana",0.277497743326627,"Veragua vs Altos de Campana"
"220607_04","220707_12","Veragua","Altos de Campana",0.438223054821908,"Veragua vs Altos de Campana"
"220609_01","220707_12","Veragua","Altos de Campana",0.843492729627879,"Veragua vs Altos de Campana"
"220609_02","220707_12","Veragua","Altos de Campana",0.587168697991156,"Veragua vs Altos de Campana"
"220609_03","220707_12","Veragua","Altos de Campana",0.530987942876797,"Veragua vs Altos de Campana"
"220609_04","220707_12","Veragua","Altos de Campana",0.469885604301764,"Veragua vs Altos de Campana"
"220609_07","220707_12","Veragua","Altos de Campana",0.596528501589675,"Veragua vs Altos de Campana"
"220707_11","220707_12","Altos de Campana","Altos de Campana",0.421194489403169,"Altos de Campana vs Altos de Campana"
"220604_01","220707_13","Veragua","Altos de Campana",0.611221153070997,"Veragua vs Altos de Campana"
"220604_02","220707_13","Veragua","Altos de Campana",0.70852725689774,"Veragua vs Altos de Campana"
"220604_03","220707_13","Veragua","Altos de Campana",0.75150324594477,"Veragua vs Altos de Campana"
"220604_04","220707_13","Veragua","Altos de Campana",0.664413769134678,"Veragua vs Altos de Campana"
"220604_05","220707_13","Veragua","Altos de Campana",0.62704157006363,"Veragua vs Altos de Campana"
"220604_06","220707_13","Veragua","Altos de Campana",0.608409345516228,"Veragua vs Altos de Campana"
"220604_07","220707_13","Veragua","Altos de Campana",0.436555322501874,"Veragua vs Altos de Campana"
"220606_02","220707_13","Veragua","Altos de Campana",0.476777624492195,"Veragua vs Altos de Campana"
"220606_04","220707_13","Veragua","Altos de Campana",0.781541709646924,"Veragua vs Altos de Campana"
"220607_01","220707_13","Veragua","Altos de Campana",0.478968505380575,"Veragua vs Altos de Campana"
"220607_02","220707_13","Veragua","Altos de Campana",0.677950724799741,"Veragua vs Altos de Campana"
"220607_03","220707_13","Veragua","Altos de Campana",0.384920772475834,"Veragua vs Altos de Campana"
"220607_04","220707_13","Veragua","Altos de Campana",0.537029680248889,"Veragua vs Altos de Campana"
"220609_01","220707_13","Veragua","Altos de Campana",0.859682789417355,"Veragua vs Altos de Campana"
"220609_02","220707_13","Veragua","Altos de Campana",0.469030749368783,"Veragua vs Altos de Campana"
"220609_03","220707_13","Veragua","Altos de Campana",0.590320541944924,"Veragua vs Altos de Campana"
"220609_04","220707_13","Veragua","Altos de Campana",0.531721422796553,"Veragua vs Altos de Campana"
"220609_07","220707_13","Veragua","Altos de Campana",0.589518105575976,"Veragua vs Altos de Campana"
"220707_11","220707_13","Altos de Campana","Altos de Campana",0.39194972701394,"Altos de Campana vs Altos de Campana"
"220707_12","220707_13","Altos de Campana","Altos de Campana",0.387865055051636,"Altos de Campana vs Altos de Campana"
"220604_01","220707_14","Veragua","Altos de Campana",0.584874955650033,"Veragua vs Altos de Campana"
"220604_02","220707_14","Veragua","Altos de Campana",0.664260749782876,"Veragua vs Altos de Campana"
"220604_03","220707_14","Veragua","Altos de Campana",0.731510782011774,"Veragua vs Altos de Campana"
"220604_04","220707_14","Veragua","Altos de Campana",0.620857724216755,"Veragua vs Altos de Campana"
"220604_05","220707_14","Veragua","Altos de Campana",0.599104651142167,"Veragua vs Altos de Campana"
"220604_06","220707_14","Veragua","Altos de Campana",0.565933154301138,"Veragua vs Altos de Campana"
"220604_07","220707_14","Veragua","Altos de Campana",0.38888092976983,"Veragua vs Altos de Campana"
