"Site","Sample_n","Within_sample_pairs","Mean_within_Bray_Curtis_distance","Median_within_Bray_Curtis_distance","SD_within_Bray_Curtis_distance"
"Lost Iguana",9,36,0.521943065759214,0.510873555802803,0.151303564259857
"Veragua",18,153,0.544976773766159,0.539668302947868,0.147800159769662
"Altos de Campana",10,45,0.429366371321628,0.422831692768049,0.0846070645033336
"Soberanía",10,45,0.500330001311045,0.437620777727672,0.188158205166684
