"Site","Longitude","Latitude","Elevation_m","Community","Mean_robust_heterogeneity","SE_robust_heterogeneity"
"Altos de Campana",-79.928671,8.67735,853,"Whole community",34.518044491219,2.33571049597157
"Lost Iguana",-84.755533,10.484028,601,"Whole community",33.0938716509279,0.768341869849422
"Soberanía",-79.682517,9.102481,116,"Whole community",18.5319966135556,2.70178809883647
"Veragua",-83.1907503888889,9.92444433333333,327.333333333333,"Whole community",26.0517448152933,2.48338859979049
"Altos de Campana",-79.928671,8.67735,853,"Anti-Bd",4.0835711231389,0.460110814181255
"Lost Iguana",-84.755533,10.484028,601,"Anti-Bd",8.22466597615176,0.527017129662546
"Soberanía",-79.682517,9.102481,116,"Anti-Bd",5.21817632390266,0.771955295971784
"Veragua",-83.1907503888889,9.92444433333333,327.333333333333,"Anti-Bd",5.0281889715242,0.590928468568409
