"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_04","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.8122071099222
"250607_05","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.6272984464798
"250607_07","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",47.7572217265386
"250607_08","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.1351576090314
"250607_09","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.1034319472867
"250607_10","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.3429549798176
"250607_01","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",32.7634933352927
"250607_02","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",33.9077702929021
"250607_03","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",38.2235364477383
"250607_04","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",25.9724126682021
"250607_05","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",28.1409741506491
"250607_07","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.1155284185507
"250607_08","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",35.4060628947458
"250607_09","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",30.9962138842423
"250607_10","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",31.6856915276905
"250607_01","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.9623057733137
"250607_02","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.8650125995662
"250607_03","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.1256820282564
"250607_04","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.1325027099636
"250607_05","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.3022924552917
"250607_07","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",52.7629827652325
"250607_08","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.3399858191642
"250607_09","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.9641582543068
"250607_10","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.4845723223062
"250607_01","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.5015592773566
"250607_02","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.3606059580416
"250607_03","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.8682260289141
"250607_04","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",37.7433434914982
"250607_05","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.4047665394067
"250607_07","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",54.3198383258905
"250607_08","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.883901454324
"250607_09","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.3031711756974
"250607_10","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.1604198173663
"250607_01","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",45.3116667109433
"250607_02","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.8673754256869
"250607_03","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",37.7500780466218
"250607_04","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.4370787161574
"250607_05","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.3461164070165
"250607_07","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.5227928763921
"250607_08","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.6065217463734
"250607_09","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.1684699014168
"250607_10","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.1796500553261
"250607_01","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.559586406613
"250607_02","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.689608871292
"250607_03","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",38.3458702532171
"250607_04","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",38.8614361494332
"250607_05","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.3477755936657
"250607_07","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",48.454600444692
"250607_08","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.0365427100136
"250607_09","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",38.6132212235791
"250607_10","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.4638729909738
"250607_01","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",33.5799946728536
"250607_02","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",36.5914618772369
"250607_03","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.426373159937
"250607_04","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",32.8060606981181
"250607_05","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",30.8106567139075
"250607_07","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",48.1990505918057
"250607_08","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.1812240035044
"250607_09","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",32.76406441966
"250607_10","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",33.8344059783754
"250607_01","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.8225648706359
"250607_02","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",49.9969336219384
"250607_03","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",50.6628634864095
"250607_04","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",48.7945612969687
"250607_05","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",50.5836455088224
"250607_07","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",57.749455527764
"250607_08","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",50.9359574041593
"250607_09","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",48.980384063333
"250607_10","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",52.2834625191883
"250607_01","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.3656349811786
"250607_02","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.5720867825945
"250607_03","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",47.5684720512917
"250607_04","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.0399675713217
"250607_05","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.1791140051822
"250607_07","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",55.3520684914983
