"taxon","W","p_val","q_val","passed_ss","diff_robust_abn"
"Staphylococcus",8.9618108057166,0.000467320626154003,0.00202505604666735,TRUE,TRUE
"Acinetobacter",27.2869329259719,9.70252990693581e-10,1.26132888790166e-08,TRUE,TRUE
"Pseudomonas",11.4340190466214,4.10910830140227e-05,0.000267092039591147,TRUE,TRUE
"Stenotrophomonas",6.64421189267045,0.00298451046990538,0.00775972722175399,TRUE,TRUE
"Curtobacterium",8.33059986145842,0.00172026842102657,0.00559087236833637,TRUE,TRUE
"Burkholderia-Caballeronia-Paraburkholderia",4.93951911836703,0.0132460416467538,0.0286997569013,TRUE,TRUE
"Novosphingobium",4.85606307278142,0.0177016050204678,0.0328744093237259,TRUE,TRUE
