"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220607_01","220607_04","Veragua","Veragua",0.803050436965944,"Veragua vs Veragua"
"220607_02","220607_04","Veragua","Veragua",0.61002933888522,"Veragua vs Veragua"
"220607_03","220607_04","Veragua","Veragua",0.474964794549646,"Veragua vs Veragua"
"220604_01","220609_01","Veragua","Veragua",0.504433291451114,"Veragua vs Veragua"
"220604_02","220609_01","Veragua","Veragua",0.241085505118615,"Veragua vs Veragua"
"220604_03","220609_01","Veragua","Veragua",0.812692450013398,"Veragua vs Veragua"
"220604_04","220609_01","Veragua","Veragua",0.469556451013337,"Veragua vs Veragua"
"220604_05","220609_01","Veragua","Veragua",0.421232820067143,"Veragua vs Veragua"
"220604_06","220609_01","Veragua","Veragua",0.386700027800945,"Veragua vs Veragua"
"220604_07","220609_01","Veragua","Veragua",0.708352248402441,"Veragua vs Veragua"
"220606_02","220609_01","Veragua","Veragua",0.528406136343615,"Veragua vs Veragua"
"220606_04","220609_01","Veragua","Veragua",0.76645727263038,"Veragua vs Veragua"
"220607_01","220609_01","Veragua","Veragua",0.911813643926789,"Veragua vs Veragua"
"220607_02","220609_01","Veragua","Veragua",0.39259827053441,"Veragua vs Veragua"
"220607_03","220609_01","Veragua","Veragua",0.552735164324701,"Veragua vs Veragua"
"220607_04","220609_01","Veragua","Veragua",0.575201190550858,"Veragua vs Veragua"
"220604_01","220609_02","Veragua","Veragua",0.451968671335206,"Veragua vs Veragua"
"220604_02","220609_02","Veragua","Veragua",0.45362570545738,"Veragua vs Veragua"
"220604_03","220609_02","Veragua","Veragua",0.845571351219357,"Veragua vs Veragua"
"220604_04","220609_02","Veragua","Veragua",0.480898792070307,"Veragua vs Veragua"
"220604_05","220609_02","Veragua","Veragua",0.368568668272305,"Veragua vs Veragua"
"220604_06","220609_02","Veragua","Veragua",0.301015986604613,"Veragua vs Veragua"
"220604_07","220609_02","Veragua","Veragua",0.589670354886436,"Veragua vs Veragua"
"220606_02","220609_02","Veragua","Veragua",0.45292935004555,"Veragua vs Veragua"
"220606_04","220609_02","Veragua","Veragua",0.781641460136845,"Veragua vs Veragua"
"220607_01","220609_02","Veragua","Veragua",0.621171838284792,"Veragua vs Veragua"
"220607_02","220609_02","Veragua","Veragua",0.380709943595161,"Veragua vs Veragua"
"220607_03","220609_02","Veragua","Veragua",0.374256933037008,"Veragua vs Veragua"
"220607_04","220609_02","Veragua","Veragua",0.521169945772587,"Veragua vs Veragua"
"220609_01","220609_02","Veragua","Veragua",0.433789481056096,"Veragua vs Veragua"
"220604_01","220609_03","Veragua","Veragua",0.541480692777785,"Veragua vs Veragua"
"220604_02","220609_03","Veragua","Veragua",0.542120350365528,"Veragua vs Veragua"
"220604_03","220609_03","Veragua","Veragua",0.709220605984657,"Veragua vs Veragua"
"220604_04","220609_03","Veragua","Veragua",0.493141296929897,"Veragua vs Veragua"
"220604_05","220609_03","Veragua","Veragua",0.402528478900993,"Veragua vs Veragua"
"220604_06","220609_03","Veragua","Veragua",0.4114445219268,"Veragua vs Veragua"
"220604_07","220609_03","Veragua","Veragua",0.523045432069226,"Veragua vs Veragua"
"220606_02","220609_03","Veragua","Veragua",0.359929388613713,"Veragua vs Veragua"
"220606_04","220609_03","Veragua","Veragua",0.72236841729855,"Veragua vs Veragua"
"220607_01","220609_03","Veragua","Veragua",0.681395380408318,"Veragua vs Veragua"
"220607_02","220609_03","Veragua","Veragua",0.507436714869355,"Veragua vs Veragua"
"220607_03","220609_03","Veragua","Veragua",0.402726637958518,"Veragua vs Veragua"
"220607_04","220609_03","Veragua","Veragua",0.400494204844116,"Veragua vs Veragua"
"220609_01","220609_03","Veragua","Veragua",0.491279077209803,"Veragua vs Veragua"
