"Site","Sample_n","Within_sample_pairs","Mean_within_Bray_Curtis_distance","Median_within_Bray_Curtis_distance","SD_within_Bray_Curtis_distance"
"Lost Iguana",9,36,0.498310366326909,0.521712990947795,0.184722354270198
"Veragua",18,153,0.581742058222341,0.539298818276128,0.176294136997537
"Altos de Campana",10,45,0.604589559077049,0.621167103542686,0.102911664434284
"Soberanía",10,45,0.657737187655795,0.648475285440749,0.177083707876158
