"Sample_ID","Bd_arrival_year","Whole_community_genus_Hill_D1","Locality_internal"
"220604_01",1989.98425233345,31.3259479108668,"Veragua"
"220604_02",1989.98425233345,19.7148546362607,"Veragua"
"220604_03",1989.98425233345,35.2057954840518,"Veragua"
"220604_04",1989.98425233345,45.800312411941,"Veragua"
"220604_05",1989.98425233345,41.4487073657508,"Veragua"
"220604_06",1989.98425233345,35.9452511901979,"Veragua"
"220604_07",1989.98425233345,57.4363862822388,"Veragua"
"220606_02",1989.98425233345,80.3700026054719,"Veragua"
"220606_04",1989.98425233345,24.1511674620404,"Veragua"
"220607_01",1989.98425233345,37.5316516702207,"Veragua"
"220607_02",1989.98425233345,63.7406827666528,"Veragua"
"220607_03",1989.98425233345,56.6350908428785,"Veragua"
"220607_04",1989.98425233345,29.3218506704322,"Veragua"
"220609_01",1989.98425233345,22.0831830265188,"Veragua"
"220609_02",1989.98425233345,34.7713294937693,"Veragua"
"220609_03",1989.98425233345,45.5788399402895,"Veragua"
"220609_04",1989.98425233345,70.6937120462792,"Veragua"
"220609_07",1989.98425233345,42.0689138304983,"Veragua"
"220707_11",2008.41768959668,57.9143818747282,"Altos de Campana"
"220707_12",2008.41768959668,50.7430821577936,"Altos de Campana"
"220707_13",2008.41768959668,27.5457909067158,"Altos de Campana"
"220707_14",2008.41768959668,51.7573938743047,"Altos de Campana"
"220707_15",2008.41768959668,27.5804785990656,"Altos de Campana"
"220707_16",2008.41768959668,71.799975494906,"Altos de Campana"
"220707_17",2008.41768959668,41.3923543567959,"Altos de Campana"
"220707_18",2008.41768959668,55.1237815874789,"Altos de Campana"
"220707_19",2008.41768959668,46.2681700884485,"Altos de Campana"
"220707_20",2008.41768959668,58.8130115249157,"Altos de Campana"
"220708_01",2009.4359546082,65.327481824314,"Soberanía"
"220708_02",2009.4359546082,17.3362368274085,"Soberanía"
"220708_03",2009.4359546082,24.3310941959503,"Soberanía"
"220708_04",2009.4359546082,22.785659945968,"Soberanía"
"220708_05",2009.4359546082,19.0903018670591,"Soberanía"
"220708_06",2009.4359546082,12.2044658676736,"Soberanía"
"220708_07",2009.4359546082,52.958356699722,"Soberanía"
"220708_08",2009.4359546082,36.9737769370119,"Soberanía"
"220708_09",2009.4359546082,35.0648065331803,"Soberanía"
"220708_10",2009.4359546082,34.4233511584578,"Soberanía"
"250607_01",1982.91046925675,18.8059429803185,"Lost Iguana"
"250607_02",1982.91046925675,9.66387004294045,"Lost Iguana"
"250607_03",1982.91046925675,24.6837064482549,"Lost Iguana"
"250607_04",1982.91046925675,1.53182802818654,"Lost Iguana"
"250607_05",1982.91046925675,4.67867536421139,"Lost Iguana"
"250607_07",1982.91046925675,44.965498872773,"Lost Iguana"
"250607_08",1982.91046925675,16.413530000559,"Lost Iguana"
"250607_09",1982.91046925675,10.9604783717878,"Lost Iguana"
"250607_10",1982.91046925675,8.54900737716125,"Lost Iguana"
