"k","mean_silhouette","mean_bootstrap_Jaccard","minimum_cluster_Jaccard","minimum_cluster_size","cluster_sizes"
2,0.0923332334086335,0.941897035043882,0.917491015030721,13,"34;13"
3,0.061556430134342,0.801122031671794,0.739152720142194,12,"19;16;12"
4,0.0417985608547265,0.717677901057627,0.54538938756462,5,"18;15;9;5"
5,0.0411922822520345,0.7862918110799,0.594701353091353,1,"17;15;9;1;5"
6,0.0423045133013861,0.804295493556407,0.625615633400416,1,"16;15;9;1;1;5"
7,0.04284796147083,0.843034426687629,0.681609883560844,1,"15;15;1;9;1;1;5"
8,0.043644797648622,0.870330220504758,0.725039949770246,1,"15;14;1;9;1;1;5;1"
