"Outcome","Model","Direction","Weighted_pseudo_R2","Weighted_RMSE","Spearman_rho","Spearman_exact_p","Independent_units","Weight","Direction_selection","Inference_note"
"Mean anti-Bd relative abundance (%)","weighted monotonic isotonic regression (PAVA)","non-increasing",0.866865314254996,2.28702812540223,-0.4,0.75,4,"number of frog samples at locality","increasing and decreasing fits by minimum weighted SSE","exploratory; exact Spearman p is reported, not an isotonic model p value"
"Mean observed anti-Bd genus richness","weighted monotonic isotonic regression (PAVA)","non-decreasing",0.579670808567986,0.908151013928832,0.4,0.75,4,"number of frog samples at locality","increasing and decreasing fits by minimum weighted SSE","exploratory; exact Spearman p is reported, not an isotonic model p value"
"Mean Aitchison distance to locality centroid","weighted monotonic isotonic regression (PAVA)","non-decreasing",0.805775076686904,4.66647318126273,0.4,0.75,4,"number of frog samples at locality","increasing and decreasing fits by minimum weighted SSE","exploratory; exact Spearman p is reported, not an isotonic model p value"
