"Site","Sample_n","anti_raw_mean_percent","anti_raw_se_percent","d1_mean","d1_se","dispersion_mean","dispersion_se","anti_dispersion_mean","anti_dispersion_se","robust_dispersion_mean","robust_dispersion_se","anti_robust_dispersion_mean","anti_robust_dispersion_se","pred_wave_year","beta_binomial_mean_percent","beta_binomial_mean_SE_percent","beta_binomial_dispersion","beta_binomial_dispersion_SE","beta_binomial_overdispersion_rho","beta_binomial_overdispersion_rho_SE"
"Altos de Campana",10,2.44660945349949,0.35332070355541,12.1622555213075,1.19135613421366,109.102836748387,5.73456151307486,18.9140708538462,1.08883103305524,34.518044491219,2.33571049597157,4.0835711231389,0.460110814181255,2008.41768959668,2.44738069100396,0.322897888450048,229.29388302656,104.561934681771,0.00434227773164373,0.00197155458312315
"Lost Iguana",9,21.8473347525545,5.58180796158208,5.25756912383157,0.455269221518516,76.8394166175867,5.7963666689343,29.1040368002711,1.57696968863831,33.0938716509279,0.768341869849422,8.22466597615176,0.527017129662546,1982.91046925675,22.2404829966362,4.85840022239985,7.05198593198508,3.22800292373409,0.124192964126735,0.0497883695643108
"Soberanía",10,9.45850490879399,3.16265621465784,10.4609495117466,1.62012188848695,94.7957008944302,5.22379689545252,23.8305359827018,1.24094762886118,18.5319966135556,2.70178809883647,5.21817632390266,0.771955295971784,2009.4359546082,9.7439121354593,2.2817455204117,15.8592629600621,7.29096294989283,0.0593145739744911,0.0256512020876089
"Veragua",18,9.17391940876962,1.57370177044043,10.038213960504,0.727210901010165,99.6286267187434,7.77576714731496,26.512137153143,1.55692088518805,26.0517448152933,2.48338859979049,5.0281889715242,0.590928468568409,1989.98425233345,9.22143224761576,1.39237956742256,22.9855955753845,7.81029131876388,0.041691689366524,0.0135758246444436
