"Site","Community","n","D0_mean","D0_SD","D0_SE","bd_year"
"Lost Iguana","Anti-Bd",9,19.8888888888889,5.01109879279097,1.67036626426366,1985.79445662542
"Veragua","Anti-Bd",18,21.0555555555556,8.72098363463409,2.05555555555556,1992.98681788945
"Altos de Campana","Anti-Bd",10,18.6,6.73630297550354,2.13020604115606,2007.90134868096
"Soberanía","Anti-Bd",10,22.7,3.94546152771341,1.24766448481419,2009.53790614257
"Lost Iguana","Whole community",9,147.666666666667,69.5251752964349,23.175058432145,1985.79445662542
"Veragua","Whole community",18,201.388888888889,96.7818279545402,22.8116956140951,1992.98681788945
"Altos de Campana","Whole community",10,270.6,58.332761901963,18.4464389818499,2007.90134868096
"Soberanía","Whole community",10,247.4,73.2942319998269,23.1776712472251,2009.53790614257
