"Site","Sample_n","latitude","longitude","segment","fraction","distance_to_path_km","projected_x","projected_y","pred_wave_year","along_path_km","years_before_sampling","Prediction_status","label_lon","label_lat","label_hjust","anti_mean_percent","anti_se_percent","dispersion_mean","dispersion_se"
"Altos de Campana",10,8.67735,-79.928671,5,2.20884479834213,15.8696994723247,-8781.76610147874,949.324585150226,2008.41768959668,494.527227787413,13.5823104033157,"Extrapolated beyond the last anchor along segment 5",-80.008671,8.55735,1,2.44660945349949,0.35332070355541,109.102836748387,5.73456151307486
"Lost Iguana",9,10.484028,-84.755533,1,-0.681588457207755,16.441914857026,-9297.63821457046,1177.88747870668,1982.91046925675,-97.4425671540787,39.0895307432465,"Extrapolated before the first anchor along segment 1",-84.675533,10.554028,0,21.8473347525545,5.58180796158208,76.8394166175867,5.7963666689343
"Soberanía",10,9.102481,-79.682517,5,2.717977304102,67.5672433319274,-8764.99059764111,945.927803360578,2009.4359546082,511.658529990762,12.5640453917961,"Extrapolated beyond the last anchor along segment 5",-79.762517,9.002481,1,9.45850490879399,3.16265621465784,94.7957008944302,5.22379689545252
"Veragua",18,9.92444433333333,-83.1907503888889,1,0.497375388907683,53.8980830501426,-9173.33132124931,1063.83484657541,1989.98425233345,71.106742231185,32.0157476665538,"Interpolated on the nearest segment of the single wave path",-83.1107503888889,9.99444433333333,0,9.17391940876962,1.57370177044043,99.6286267187434,7.77576714731496
