"Outcome","Model","a","a_SE","b_per_year","b_SE","b_t","b_p_approx","Annual_percent_change","Direction","Doubling_or_halving_years","Weighted_pseudo_R2","Weighted_RMSE","Residual_df","Independent_units","Weight","Inference_note"
"Mean anti-Bd relative abundance (%)","weighted nonlinear exponential: y = a * exp[b * (year - 2000)]",6.21954964535093,3.48397888865572,-0.0659620426912394,0.0393482182297972,-1.67636669863969,0.235658890731821,-6.38336020257477,"decreasing",10.5082734293795,0.675983833305572,3.56787176401688,2,4,"number of frog samples at locality","exploratory approximate t test with 2 residual df; no curve confidence band"
"Mean observed anti-Bd genus richness","weighted nonlinear exponential: y = a * exp[b * (year - 2000)]",20.6987534677891,1.02952033685682,0.00057835719663398,0.00440213857162911,0.13138096114497,0.907497942406877,0.0578524477405251,"increasing",1198.47593251029,0.0085952271207631,1.39472568438517,2,4,"number of frog samples at locality","exploratory approximate t test with 2 residual df; no curve confidence band"
"Mean Aitchison distance to locality centroid","weighted nonlinear exponential: y = a * exp[b * (year - 2000)]",97.9858243717271,6.14773822649929,0.00601269917442357,0.00569829373080937,1.05517536625293,0.401991264259897,0.603081173369802,"increasing",115.280535488689,0.365874622528888,8.43186921820611,2,4,"number of frog samples at locality","exploratory approximate t test with 2 residual df; no curve confidence band"
