"Site","beta_binomial_mean_percent","beta_binomial_mean_SE_percent","beta_binomial_dispersion","beta_binomial_dispersion_SE","beta_binomial_overdispersion_rho","beta_binomial_overdispersion_rho_SE"
"Altos de Campana",2.44738069100396,0.322897888450048,229.29388302656,104.561934681771,0.00434227773164373,0.00197155458312315
"Lost Iguana",22.2404829966362,4.85840022239985,7.05198593198508,3.22800292373409,0.124192964126735,0.0497883695643108
"Soberanía",9.7439121354593,2.2817455204117,15.8592629600621,7.29096294989283,0.0593145739744911,0.0256512020876089
"Veragua",9.22143224761576,1.39237956742256,22.9855955753845,7.81029131876388,0.041691689366524,0.0135758246444436
