"Term","Estimate","SE","t_value","p_value"
"(Intercept)",2394.88004586347,60.9138110352975,39.3158793574041,2.50039436139383e-06
"lon",4.94841697280737,0.980753123995918,5.0455276172314,0.00725383376008476
"lat",0.984366771863087,2.39577816844458,0.410875591416784,0.70222184688109
