"Sample_ID","Site","Anti_Bd_percent"
"220604_01","Veragua",13.4405899111781
"220604_02","Veragua",8.89777555611097
"220604_03","Veragua",29.1630604119785
"220604_04","Veragua",11.6479723899914
"220604_05","Veragua",9.95419708856741
"220604_06","Veragua",8.62617718869899
"220604_07","Veragua",6.42974165091367
"220606_02","Veragua",8.16455410708647
"220606_04","Veragua",19.9064449064449
"220607_01","Veragua",2.39709636247607
"220607_02","Veragua",8.46490827781327
"220607_03","Veragua",2.74253050634451
"220607_04","Veragua",4.54347770472511
"220609_01","Veragua",10.9314766737471
"220609_02","Veragua",2.28100698255529
"220609_03","Veragua",8.83086661999467
"220609_04","Veragua",3.17107594366536
"220609_07","Veragua",5.5375970755613
"220707_11","Altos de Campana",4.78497529339098
"220707_12","Altos de Campana",3.31272738028336
"220707_13","Altos de Campana",2.49742114121288
"220707_14","Altos de Campana",2.83415482748623
"220707_15","Altos de Campana",1.16899730910053
"220707_16","Altos de Campana",1.3989501312336
"220707_17","Altos de Campana",1.68372069750569
"220707_18","Altos de Campana",1.97752649423961
"220707_19","Altos de Campana",3.21889469017831
"220707_20","Altos de Campana",1.58872657036372
"220708_01","Soberanía",5.48230150895501
"220708_02","Soberanía",6.73130137126694
"220708_03","Soberanía",4.45525464954172
"220708_04","Soberanía",12.7136092238007
"220708_05","Soberanía",8.91817990605062
"220708_06","Soberanía",4.13949881930004
"220708_07","Soberanía",8.05033550809495
"220708_08","Soberanía",4.42061911050429
"220708_09","Soberanía",2.95551770319997
"220708_10","Soberanía",36.7184312872257
"250607_01","Lost Iguana",33.3995146701963
"250607_02","Lost Iguana",27.3496807470726
"250607_03","Lost Iguana",16.3246455965624
"250607_04","Lost Iguana",4.4542447629548
"250607_05","Lost Iguana",6.14083685668465
"250607_07","Lost Iguana",16.4687584123471
"250607_08","Lost Iguana",18.2992776855035
"250607_09","Lost Iguana",14.8082104929466
"250607_10","Lost Iguana",59.3808435487222
