"Community","Frog_n","Locality_n","Wd_star","Wd_omega2","Wd_p","Wd_permutations","PERMANOVA_R2","PERMANOVA_p","PERMDISP_F","PERMDISP_p","Wd_Holm_p"
"Whole community",47,4,24.4015017252669,0.598991524007525,1e-04,9999,0.493790975481541,1e-04,3.68713331040074,0.0166,2e-04
"Anti-Bd community",47,4,3.29219397793854,0.127635824081474,0.0012,9999,0.187239873078215,9e-04,0.99751086355181,0.4058,0.0012
