"Sample_ID","Order_q","Hill_D","Community","Common_coverage","Site"
"220708_08",0,302,"Whole community",1,"Soberanía"
"220708_08",1,36.9737769370119,"Whole community",1,"Soberanía"
"220708_08",2,8.1652421584476,"Whole community",1,"Soberanía"
"220708_09",0,375,"Whole community",1,"Soberanía"
"220708_09",1,35.0648065331803,"Whole community",1,"Soberanía"
"220708_09",2,8.51487022934612,"Whole community",1,"Soberanía"
"220708_10",0,163,"Whole community",1,"Soberanía"
"220708_10",1,34.4233511584578,"Whole community",1,"Soberanía"
"220708_10",2,15.0789700700327,"Whole community",1,"Soberanía"
"250607_01",0,132,"Whole community",1,"Lost Iguana"
"250607_01",1,18.8059429803185,"Whole community",1,"Lost Iguana"
"250607_01",2,7.70488048465545,"Whole community",1,"Lost Iguana"
"250607_02",0,154,"Whole community",1,"Lost Iguana"
"250607_02",1,9.66387004294045,"Whole community",1,"Lost Iguana"
"250607_02",2,3.44231538323756,"Whole community",1,"Lost Iguana"
"250607_03",0,208,"Whole community",1,"Lost Iguana"
"250607_03",1,24.6837064482549,"Whole community",1,"Lost Iguana"
"250607_03",2,7.85379032141312,"Whole community",1,"Lost Iguana"
"250607_04",0,33,"Whole community",1,"Lost Iguana"
"250607_04",1,1.53182802818654,"Whole community",1,"Lost Iguana"
"250607_04",2,1.16415938068947,"Whole community",1,"Lost Iguana"
"250607_05",0,80,"Whole community",1,"Lost Iguana"
"250607_05",1,4.67867536421139,"Whole community",1,"Lost Iguana"
"250607_05",2,2.12106577979305,"Whole community",1,"Lost Iguana"
"250607_07",0,261,"Whole community",1,"Lost Iguana"
"250607_07",1,44.965498872773,"Whole community",1,"Lost Iguana"
"250607_07",2,14.5322678593658,"Whole community",1,"Lost Iguana"
"250607_08",0,204,"Whole community",1,"Lost Iguana"
"250607_08",1,16.413530000559,"Whole community",1,"Lost Iguana"
"250607_08",2,4.78443652468674,"Whole community",1,"Lost Iguana"
"250607_09",0,140,"Whole community",1,"Lost Iguana"
"250607_09",1,10.9604783717878,"Whole community",1,"Lost Iguana"
"250607_09",2,4.25205675924559,"Whole community",1,"Lost Iguana"
"250607_10",0,117,"Whole community",1,"Lost Iguana"
"250607_10",1,8.54900737716125,"Whole community",1,"Lost Iguana"
"250607_10",2,4.19652793614542,"Whole community",1,"Lost Iguana"
"220604_01",0,16,"Anti-Bd community",1,"Veragua"
"220604_01",1,7.7111904797633,"Anti-Bd community",1,"Veragua"
"220604_01",2,5.40855255689582,"Anti-Bd community",1,"Veragua"
"220604_02",0,12,"Anti-Bd community",1,"Veragua"
"220604_02",1,4.35811683298273,"Anti-Bd community",1,"Veragua"
"220604_02",2,2.79830647876751,"Anti-Bd community",1,"Veragua"
