"Sample_ID","CAP1","MDS1","Site","Bd_arrival_year","Community"
"220604_01",-1.20745262361015,-0.326989724307238,"Veragua",1992.98681788945,"Whole community"
"220604_02",-1.09109273151298,-0.148550048816571,"Veragua",1992.98681788945,"Whole community"
"220604_03",0.0491698408732582,-0.989626357685588,"Veragua",1992.98681788945,"Whole community"
"220604_04",-0.991877566075582,-0.148222924866651,"Veragua",1992.98681788945,"Whole community"
"220604_05",-1.19360290594842,-0.275863403795444,"Veragua",1992.98681788945,"Whole community"
"220604_06",-0.986993735201167,-0.0340774164274495,"Veragua",1992.98681788945,"Whole community"
"220604_07",0.443985591693533,1.36554634308886,"Veragua",1992.98681788945,"Whole community"
"220606_02",-0.344357898701533,0.416240905889021,"Veragua",1992.98681788945,"Whole community"
"220606_04",-1.44193155610548,-0.56925516749328,"Veragua",1992.98681788945,"Whole community"
"220607_01",0.80551323730947,1.11811115272215,"Veragua",1992.98681788945,"Whole community"
"220607_02",-0.562412129077663,0.290226586362786,"Veragua",1992.98681788945,"Whole community"
"220607_03",1.16750421174369,1.48105348076365,"Veragua",1992.98681788945,"Whole community"
"220607_04",0.0801841691107306,0.639068492116356,"Veragua",1992.98681788945,"Whole community"
"220609_01",-1.43910637216896,-0.269367675394539,"Veragua",1992.98681788945,"Whole community"
"220609_02",0.121324911502811,1.30064419291588,"Veragua",1992.98681788945,"Whole community"
"220609_03",-0.679921084426592,-0.0112721710297751,"Veragua",1992.98681788945,"Whole community"
"220609_04",0.103901101126872,0.66455523311837,"Veragua",1992.98681788945,"Whole community"
"220609_07",0.652560278505149,1.74056926656952,"Veragua",1992.98681788945,"Whole community"
"220707_11",0.747702460743745,0.18111741981696,"Altos de Campana",2007.90134868096,"Whole community"
"220707_12",1.37090651487669,0.429287622428687,"Altos de Campana",2007.90134868096,"Whole community"
"220707_13",1.35689948784713,0.506546890083642,"Altos de Campana",2007.90134868096,"Whole community"
"220707_14",1.02395758197854,0.517292673365277,"Altos de Campana",2007.90134868096,"Whole community"
"220707_15",0.823235831989753,-0.337638381515911,"Altos de Campana",2007.90134868096,"Whole community"
"220707_16",1.49164026140855,0.791478459855333,"Altos de Campana",2007.90134868096,"Whole community"
"220707_17",1.18194743159614,0.478531280628274,"Altos de Campana",2007.90134868096,"Whole community"
"220707_18",1.43081625822287,1.00082160896286,"Altos de Campana",2007.90134868096,"Whole community"
"220707_19",1.1402784072572,-0.127802081542111,"Altos de Campana",2007.90134868096,"Whole community"
"220707_20",1.51904411112019,0.467501712115647,"Altos de Campana",2007.90134868096,"Whole community"
"220708_01",0.381165202217196,-0.169786035098736,"Soberanía",2009.53790614257,"Whole community"
"220708_02",-0.121111047598749,-0.38713099596605,"Soberanía",2009.53790614257,"Whole community"
"220708_03",0.403091796441583,-0.153941626113172,"Soberanía",2009.53790614257,"Whole community"
"220708_04",-0.264455524567501,-0.392831014166239,"Soberanía",2009.53790614257,"Whole community"
"220708_05",0.255509703419817,-0.992477826787239,"Soberanía",2009.53790614257,"Whole community"
"220708_06",-0.325159024371005,-0.566133611433062,"Soberanía",2009.53790614257,"Whole community"
"220708_07",0.826532537927476,-0.218516248743218,"Soberanía",2009.53790614257,"Whole community"
"220708_08",1.23396293916614,0.0779291065697929,"Soberanía",2009.53790614257,"Whole community"
"220708_09",1.18111776581181,-0.358468760935979,"Soberanía",2009.53790614257,"Whole community"
"220708_10",-0.400844576357503,-2.36753914848217,"Soberanía",2009.53790614257,"Whole community"
"250607_01",-0.98992368652236,-0.671183098104216,"Lost Iguana",1985.79445662542,"Whole community"
"250607_02",-0.986949305402328,-0.764610369640025,"Lost Iguana",1985.79445662542,"Whole community"
"250607_03",-0.196713161548634,0.614009351323454,"Lost Iguana",1985.79445662542,"Whole community"
"250607_04",-1.33798195794771,-0.832732655238278,"Lost Iguana",1985.79445662542,"Whole community"
"250607_05",-1.30257271461335,-0.752953970991413,"Lost Iguana",1985.79445662542,"Whole community"
"250607_07",-0.849071676037705,-0.32463166455089,"Lost Iguana",1985.79445662542,"Whole community"
"250607_08",-0.83588960073078,-0.17987998878928,"Lost Iguana",1985.79445662542,"Whole community"
"250607_09",-1.12856785841018,-0.469859967457683,"Lost Iguana",1985.79445662542,"Whole community"
"250607_10",-1.11396289695402,-1.23918944333011,"Lost Iguana",1985.79445662542,"Whole community"
"220604_01",-0.354909160771168,-0.342800348944386,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_02",-0.172020004914022,-0.373251845738601,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_03",-0.00273221072162298,1.70923414263558,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_04",-0.0492297036266965,0.0469017339167068,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_05",-0.35166559038433,-0.0549502018020318,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_06",-0.382773815992195,0.140836913309297,"Veragua",1992.98681788945,"Anti-Bd community"
"220604_07",-0.423551486755865,-0.483334149344452,"Veragua",1992.98681788945,"Anti-Bd community"
"220606_02",-0.334305626796942,-0.208569996940231,"Veragua",1992.98681788945,"Anti-Bd community"
"220606_04",0.516817667753845,-0.248317792205518,"Veragua",1992.98681788945,"Anti-Bd community"
"220607_01",0.345528400282068,-0.272840923055535,"Veragua",1992.98681788945,"Anti-Bd community"
"220607_02",0.0222955378025702,-0.0278437208840039,"Veragua",1992.98681788945,"Anti-Bd community"
