"Site","CAP1","MDS1","Bd_arrival_year","Community"
"Lost Iguana",-0.549821261223428,0.0205256467797123,1985.79445662542,"Anti-Bd community"
"Veragua",-0.0443372283579027,-0.0198167054605711,1992.98681788945,"Anti-Bd community"
"Altos de Campana",0.290960167807488,0.0927335489200129,2007.90134868096,"Anti-Bd community"
"Soberanía",0.283685978337821,-0.0755365611927005,2009.53790614257,"Anti-Bd community"
"Lost Iguana",-0.97129253979634,-0.513447978530938,1985.79445662542,"Whole community"
"Veragua",-0.361922514497945,0.346821709096114,1992.98681788945,"Whole community"
"Altos de Campana",1.20864283470408,0.390713720419866,2007.90134868096,"Whole community"
"Soberanía",0.316980977208926,-0.552889616115607,2009.53790614257,"Whole community"
