"taxon","lfc_(Intercept)","lfc_SiteVeragua","lfc_SiteAltos de Campana","lfc_SiteSoberanía","se_(Intercept)","se_SiteVeragua","se_SiteAltos de Campana","se_SiteSoberanía","W_(Intercept)","W_SiteVeragua","W_SiteAltos de Campana","W_SiteSoberanía","p_(Intercept)","p_SiteVeragua","p_SiteAltos de Campana","p_SiteSoberanía","q_(Intercept)","q_SiteVeragua","q_SiteAltos de Campana","q_SiteSoberanía","diff_(Intercept)","diff_SiteVeragua","diff_SiteAltos de Campana","diff_SiteSoberanía","passed_ss_(Intercept)","passed_ss_SiteVeragua","passed_ss_SiteAltos de Campana","passed_ss_SiteSoberanía","diff_robust_(Intercept)","diff_robust_SiteVeragua","diff_robust_SiteAltos de Campana","diff_robust_SiteSoberanía"
"Anoxybacillus",-0.16679632567659,0.75933440081698,-1.62016326876247,-0.0417837309608194,0.356731428240227,0.516658349843868,0.554543367355799,0.596585467493046,-0.467568351068489,1.46970314337598,-2.92161689082643,-0.0700381307248428,0.643076409277279,0.150835708185052,0.00614775782147055,0.94457363955865,0.76939498967103,0.297235072011721,0.0287554742277095,0.998357904870729,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Mitochondria",1.02041214163595,-1.47924498341317,-1.70356303715253,-0.735131248271662,0.466789415370624,0.593327004087116,0.576102260219244,0.652930659568968,2.18602245045714,-2.49313611755984,-2.95704973714946,-1.12589482129229,0.0343055742637623,0.016590216106151,0.00502840581033985,0.266454835076678,0.0919389390268831,0.0892695824738654,0.0249557917994644,0.548398534924406,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Enterococcus",-0.06249111450505,0.787817903654663,-1.43378192839184,-0.239497794435383,0.2906060830528,0.475869019322211,0.509459577792779,0.536831628992818,-0.215037186588059,1.6555351823003,-2.81431931185525,-0.446132048673658,0.830830967749072,0.105642030753222,0.00754644324055959,0.657907630010885,0.921497037532571,0.246753558593673,0.0316007310698433,0.84768867712941,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Methylobacterium-Methylorubrum",-1.67805378294774,2.35643962112366,1.44295000980215,1.89691326215072,0.377895872854021,0.522753738009897,0.501808357800316,0.557321219831456,-4.44051894579956,4.50774322550907,2.8755001533401,3.40362648083699,6.1732965044972e-05,4.98253241913538e-05,0.00625076079916222,0.00144962383698697,0.000646483569827395,0.0022255311472138,0.0287554742277095,0.018581919244092,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tepidiphilus",-0.0389133650153297,0.398678621980073,-1.53735911774811,-0.0764497994063137,0.360307783027629,0.525712975934776,0.531395063408602,0.622036409339926,-0.108000345394553,0.758357963813197,-2.89306247575356,-0.122902451140181,0.914595115258805,0.453173125878044,0.00643779273754691,0.902867927528437,0.954027163329806,0.607251988676579,0.0287554742277095,0.998357904870729,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pseudomonas",1.68697460616379,-2.08100008981138,-2.87783398404823,-1.82288679929871,0.577918118294428,0.723183986455462,0.766723234010531,0.82772790683201,2.91905471166477,-2.87755277880388,-3.75341956053038,-2.20227780681638,0.0057399031250741,0.00640110575550938,0.000554359697535362,0.0334719618561482,0.022573380416254,0.050455774778721,0.00619034995581155,0.140163840272621,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Bacillaceae",-0.039040287535003,0.614272657255207,-1.79963296659622,-0.390379088177883,0.374932390166141,0.579851239550892,0.544336166187757,0.644420964070932,-0.104126206641425,1.05936249740705,-3.30610581912993,-0.605782725800512,0.917631584386458,0.296301704871595,0.00211034644126677,0.548357440304472,0.954027163329806,0.480116222068697,0.0141393211564873,0.757524711348446,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Clostridium sensu stricto 12",-0.156979201423992,0.84576038413515,-1.61804962368705,-0.209433549623128,0.333113611021863,0.503760641453917,0.520179413198004,0.620293887964251,-0.471248235526733,1.6788933365143,-3.1105606693265,-0.337636003976228,0.640306863299016,0.101833695146241,0.00364282602061946,0.737598408392096,0.76939498967103,0.246753558593673,0.0195255474705203,0.890434114635503,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Knoellia",-1.34888029661166,1.66873039588472,0.837558159759379,0.855828249081196,0.478190906516088,0.650054907020373,0.717692900406302,0.701147923084857,-2.82079871915397,2.5670606865097,1.16701469289332,1.22061011792745,0.0096949216034139,0.0172320317137871,0.255161864000267,0.234600396335399,0.034187355127828,0.0892695824738654,0.438354997128664,0.54631328209787,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Chryseobacterium",0.00448693295085902,0.122946413384927,-2.44040844987283,0.912276367333098,0.546780414892751,0.717441067029304,0.728775215530105,0.903577848347393,0.0082060966864351,0.171367961822996,-3.34864358428778,1.00962675103381,0.993520387728233,0.865371131550795,0.00267419389456526,0.322745450260893,0.995942350918302,0.913068752974855,0.0155800861683367,0.576638537799463,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Corynebacterium",-1.29129393814235,2.00642782470246,0.00108243666932593,2.05743763695709,0.383640408049472,0.562526376364973,0.606739818568351,0.697837048196595,-3.36589658192585,3.56681554679788,0.00178402115074633,2.94830668889547,0.00164031824507424,0.0009187289321434,0.998585004748559,0.00519997179373537,0.00920122055314907,0.0162133271285846,0.999690628687427,0.0409880129623847,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Stenotrophomonas",0.956104596015436,-1.36610185302162,-1.89873932035483,-0.987121828182264,0.674733868838792,0.813483273551334,0.85282863421371,0.918835352887261,1.41700993557783,-1.67932383791714,-2.2264019337313,-1.07431851101552,0.166781952120476,0.103476131029743,0.0336443405117183,0.291245206284401,0.314771571607659,0.246753558593673,0.0920069720116379,0.548398534924406,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"1174-901-12",-2.43259966558923,3.00183469041382,2.1570804405347,2.65993915283509,0.390380997583366,0.547040688701532,0.560243292609457,0.646358788539708,-6.23134753138116,5.48740660870957,3.85025660992319,4.11526724784633,2.23495530738973e-07,2.47908439280118e-06,0.000416251137493284,0.000187606672086712,9.98280037300747e-06,0.000166098654317679,0.00557776524241,0.00716111296157636,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Sphingomonas",-0.630189367838349,0.723820294469927,0.536432465508001,0.817182843407425,0.327625151677831,0.489396885521638,0.492911902604462,0.518888023491959,-1.92350729060644,1.47900470126291,1.08829278147593,1.57487320271536,0.0610532510074885,0.146428056457403,0.282528146429104,0.122615464388403,0.141054062672473,0.292856112914806,0.467392242240739,0.370844071334934,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Jatrophihabitans",-2.00558290998778,1.90037200829118,2.44524424611413,2.30737989515838,0.371134133482777,0.523776560870135,0.546694859090857,0.592725161240405,-5.40393008631971,3.62821124552452,4.47277709942348,3.89283270905809,4.35255912250709e-06,0.000878117568666998,7.42881850432105e-05,0.000411686147229686,0.00011664858448319,0.0162133271285846,0.00248865419894755,0.00788084910411113,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Caloramatoraceae",-0.321480159564153,0.990161991422288,-1.71506090490869,0.00083513457294473,0.38326937639981,0.537842990022884,0.605693770139951,0.65439152031429,-0.838783840712591,1.84098707204524,-2.83156438031781,0.00127620017530734,0.407812962784532,0.0749115455090574,0.00794438185787808,0.998989662748671,0.587601473259434,0.193041290350263,0.0322590051198686,0.999017686329697,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
