"kw.ep","kw.eBH","glm.ep","glm.eBH","taxon"
0.00132896874841802,0.00698676237190802,0.00690663774145259,0.0219333152675704,"Staphylococcus"
3.09968611224692e-05,0.000536377836424157,1.1609026563709e-06,1.54017210262439e-05,"Acinetobacter"
5.11009310363139e-05,0.000699260023627769,2.13760645826946e-05,0.000187617776462972,"Unclassified_Alcaligenaceae"
0.0631315301601159,0.101612480845125,0.0777569117851144,0.11911028554788,"Pseudomonas"
0.00218690869980141,0.009613109363817,0.0346327754950992,0.0649098879129788,"Unclassified_Bacillaceae"
0.702501565817005,0.749868987930113,0.755735313781934,0.787798331538549,"Chryseobacterium"
0.0514120159856851,0.0871948003206517,0.0500854953584232,0.0877878971000989,"Stenotrophomonas"
0.194315946318973,0.252059639417666,0.212162661127641,0.271316631329516,"Sphingobacterium"
0.000186147790093687,0.00166970796019992,2.86288365714433e-05,0.000242512555077073,"Amnibacterium"
0.0129780040552883,0.0308776095737026,0.0128042756734033,0.0312786112250873,"Klebsiella"
0.0166470730638847,0.0367432039502852,0.0314066771163079,0.0560239003421797,"Curtobacterium"
0.0193234433411723,0.0424830914320375,0.0297527633677703,0.05568307523092,"Micrococcus"
0.440561200193859,0.507471529349094,0.41469620491877,0.480039482478381,"Unclassified_Bacteria"
0.00149939225207208,0.00752751661337707,0.00164509598652918,0.00749928481462327,"Brachybacterium"
0.021994974676068,0.0456922358675891,0.0445419827736898,0.0764804093828798,"Brevibacterium"
0.0485993208136729,0.0808006732175443,0.0425977202802723,0.0730458199254097,"Luteibacter"
0.00573900942588542,0.0182313661344324,0.0158231376615535,0.0358922304223402,"Bosea"
0.0398302130936384,0.0711813278774206,0.0535078703788112,0.0864082166366064,"Unclassified_Microbacteriaceae"
0.0634525165048135,0.101291993469113,0.0347497402373769,0.0660383895223787,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
0.398244158095792,0.471851008831054,0.497429447825827,0.56097389056461,"Unclassified_Comamonadaceae"
0.801805044095327,0.831653172382481,0.651380004591881,0.70343032571093,"Brevundimonas"
0.016592747808197,0.0379833813868426,0.0363648678310909,0.0663108491511374,"Burkholderia-Caballeronia-Paraburkholderia"
0.120987147154632,0.171254524937274,0.149539218968081,0.206969371673702,"Novosphingobium"
0.306723617999561,0.366845116518449,0.266639448036967,0.323782673820331,"Duganella"
0.709293990813861,0.751397665619719,0.633999688578169,0.68065035555374,"Flavobacterium"
0.0287771933668929,0.053959145795795,0.0416650430308561,0.0712986416436417,"Streptomyces"
0.64104906038936,0.693749132105542,0.62733873324927,0.676907858985124,"Paenibacillus"
0.325774515572417,0.396336220575456,0.30325391130246,0.370290736556173,"Thermomonas"
