"kw.ep","kw.eBH","glm.ep","glm.eBH","taxon"
0.0702867535475945,0.171665956531644,0.403341933245924,0.547752201663793,"Klebsiella"
0.00484519706171034,0.0235752912533015,0.000307466039469631,0.00283784343993801,"Unclassified_Bacteria"
3.12365140642985e-05,0.00119735470368269,3.755960996282e-07,1.54634228433453e-05,"Caldalkalibacillus"
5.42050346689393e-08,1.76708413020742e-05,2.38425582832072e-09,2.03973795366442e-07,"Actinomycetospora"
8.00242336729949e-06,0.000677666097448079,5.41410519201543e-08,3.47140527441123e-06,"Staphylococcus"
3.68667031334213e-05,0.00129801983670392,3.72982338340776e-05,0.000437570328882493,"Nesterenkonia"
8.82772907168136e-07,0.000143579280604393,4.25237957671109e-11,6.92124003461347e-09,"Acinetobacter"
0.0037969589751522,0.019775841013667,0.133175500272835,0.260682652175792,"Pseudonocardia"
0.17734092237929,0.294588868945492,0.0775600558781488,0.163375016331292,"Devriesea"
0.00101947376601577,0.00808520356965151,0.00247800083679536,0.0122306137601998,"Methylocella"
8.16349056250311e-05,0.00178066772555351,0.00021574902051032,0.000941742087862071,"Unclassified_Alcaligenaceae"
8.04694509969022e-05,0.00179584532900948,7.94527595004717e-05,0.000937131064397231,"Unclassified_Planococcaceae"
0.000161113619065556,0.00271045625643146,0.00101163729143329,0.00585050471952096,"Anoxybacillus"
0.000533342705505075,0.00560813592242848,1.0549876693301e-05,0.000218138734724068,"Unclassified_Mitochondria"
6.16502434389611e-05,0.00158492889753284,0.00012517454990916,0.00124127711208595,"Enterococcus"
1.56727537956001e-05,0.000856377192669841,1.52844978652148e-07,7.48845588580447e-06,"Methylobacterium-Methylorubrum"
0.00297812729325386,0.0165669908359227,0.00928286967514992,0.032189736609538,"Tepidiphilus"
0.00802373117177503,0.0343949729890745,0.011935711918281,0.0399519670941317,"Pseudomonas"
0.56274496754797,0.664259387093842,0.698496996940871,0.782493286611784,"Bacteroides"
0.163704875207656,0.282944763408527,0.294493358644724,0.432001914500117,"Streptococcus"
6.36152902544544e-05,0.00160541165839922,4.66688991806407e-09,3.35426957638987e-07,"Aerococcus"
0.0014334062449899,0.00947158704820665,0.00041949582308127,0.00289165897942386,"Candidatus Branchiomonas"
7.07183694290413e-05,0.00169363998286754,5.84182037041924e-05,0.000654433155319075,"Unclassified_Bacillaceae"
0.000203667046046321,0.00310690426920626,0.00367261546635813,0.0128267816357523,"Clostridium sensu stricto 12"
0.490574354510408,0.618026847833918,0.574403316908857,0.68810838793572,"Knoellia"
0.0953528813018863,0.202690313800459,0.163745752831839,0.292281409732574,"Chryseobacterium"
0.00119295489677706,0.00895531891072678,0.000256496926392603,0.00241425433830525,"Corynebacterium"
0.00456502383183573,0.022583007911928,0.00613423130792866,0.0273582668271212,"Stenotrophomonas"
