"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Unclassified_BIrii41",0,0,38,58,0,16,0,13,2,2,0,15,0,0,0,0,144,0,116,104,187,36,70,160,418,220,11,622,21,12,87,386,7,44,68,480,182,2,0,14,65,0,0,78,45,0,23
"Thermoanaerobacterium",0,0,0,134,135,90,139,26,23,8,81,0,57,159,51,92,79,5,58,0,0,18,0,0,16,0,0,0,25,0,0,5,0,20,0,5,0,0,19,0,35,0,9,44,10,34,0
"Unclassified_Comamonadaceae",0,0,168,186,83,46,554,149,0,70,0,214,119,0,113,0,0,0,26,3,159,76,0,53,186,38,0,192,65,0,0,0,0,38,123,98,65,520,0,0,140,10,0,98,55,0,20
"Brevundimonas",0,12,41,0,137,116,316,89,0,0,23,26,0,0,76,136,51,83,26,11,0,0,3,15,23,0,14,40,85,23,28,51,4,23,76,165,109,662,169,0,59,6,41,405,169,9,477
"Finegoldia",28,24,0,0,0,0,123,51,0,0,19,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,9,74,0,18,0,0,0,0,176,26,60,0,0,60,13,8,0
"Acidiphilium",21,0,0,278,49,52,4371,0,0,249,42,205,24,0,0,236,34,199,0,274,54,84,5,251,146,815,20,90,54,0,19,0,0,10,0,12,50,3,0,0,118,0,4,0,0,0,0
"Paracoccus",19,12,21,0,0,0,310,101,28,6,0,0,35,314,0,483,0,144,13,0,0,0,0,9,0,20,0,0,11,11,0,0,23,0,364,0,0,20,42,31,0,0,19,0,64,48,43
"Acidibacter",12,0,71,0,0,0,116,0,5,29,186,289,34,0,183,0,68,15,80,51,68,30,52,139,184,239,47,117,12,0,0,34,0,0,41,7,22,0,0,0,0,0,0,44,0,0,0
"Dactylosporangium",0,0,0,0,0,0,0,0,0,0,0,44,0,0,332,0,22,0,59,174,21,0,10,35,0,65,13,44,40,8,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,0,0
"Burkholderia-Caballeronia-Paraburkholderia",68,0,85,35,518,351,263,0,0,0,146,187,13,205,221,155,41,105,177,235,21,78,55,18,10,56,0,36,43,0,136,104,0,60,0,25,42,0,45,80,29,0,0,0,43,15,0
"Pseudorhizobium",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,61,0,0,56,0,0,0,24,0,0,0,0,36,0,20,0,0,0,0,119,143,0,0,340,0,0,0,0,0,0,0,31
"Novosphingobium",0,0,360,402,130,59,517,22,0,89,0,73,276,0,19,219,119,53,143,173,14,89,10,114,80,118,60,142,36,0,8,69,0,0,89,70,41,197,490,69,148,0,20,315,180,56,130
"Bryobacter",0,0,13,22,0,70,412,11,0,487,44,537,300,0,51,65,207,0,475,156,222,326,131,443,355,777,107,324,326,15,0,136,0,16,340,35,125,0,0,54,126,0,0,26,0,0,0
"Pedobacter",0,0,471,0,0,0,172,97,0,0,0,93,0,0,0,0,36,27,40,37,21,16,11,0,7,57,0,9,135,0,7,0,0,61,71,115,274,638,0,328,31,0,0,134,0,0,0
"Unclassified_Lachnospiraceae",0,0,53,0,0,0,0,144,0,0,0,0,0,0,705,1917,0,122,44,0,5,0,0,5,1119,0,0,0,0,11,0,0,0,42,4,6,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Solibacter",0,0,0,0,0,13,678,0,0,157,26,232,0,0,110,0,0,0,8,120,80,28,4,91,207,312,11,95,13,0,0,0,3,0,0,0,0,0,0,23,87,0,0,0,0,0,0
"Rhodopseudomonas",0,0,0,0,33,0,40,25,0,0,0,26,33,0,0,78,0,32,230,113,50,18,38,117,66,128,0,69,0,0,173,0,52,0,77,253,137,21,0,0,32,0,0,34,43,25,0
"MN 122.2a",0,0,90,0,0,0,942,20,27,0,0,34,0,0,0,142,0,0,0,74,0,22,0,16,34,100,79,22,24,0,0,38,10,18,7,0,10,38,15,0,0,0,0,0,0,0,0
"Unclassified_Solimonadaceae",19,0,29,0,0,0,112,9,10,44,0,28,25,0,0,0,22,0,10,106,0,43,10,14,80,210,0,49,87,3,11,0,5,11,19,74,31,11,0,20,15,0,3,121,64,43,8
"Duganella",0,75,0,131,0,0,305,77,0,0,0,20,0,94,0,0,0,0,0,0,0,0,9,0,0,0,0,13,19,0,0,0,0,0,0,0,0,204,0,0,46,0,0,0,55,0,0
"Xylophilus",0,0,0,68,88,160,0,0,0,0,0,110,0,0,0,66,0,0,69,0,0,0,59,0,0,0,0,74,37,0,0,0,0,0,59,0,0,0,0,0,14,0,0,240,111,31,0
"Ellin6055",0,0,23,0,39,0,454,39,0,0,0,36,61,0,72,37,244,135,200,70,35,52,0,149,58,23,0,120,112,30,14,92,0,0,30,87,229,0,0,0,47,0,0,721,20,11,0
"Spirosoma",29,0,13,0,0,59,2946,272,22,394,6,792,343,0,15,263,283,356,108,341,107,106,6,338,639,457,33,197,98,109,15,26,0,44,33,319,66,76,11,43,594,0,0,259,203,16,3
"Unclassified_Chthoniobacteraceae",0,0,0,0,0,0,90,0,0,0,0,22,0,0,0,0,33,0,0,0,14,14,0,32,44,118,0,42,0,0,5,0,0,19,10,0,17,0,0,0,581,0,0,0,0,0,0
"Acuticoccus",0,0,0,0,0,0,0,28,0,0,0,0,19,0,0,0,0,0,78,36,32,58,15,28,41,0,20,139,0,0,0,0,0,0,0,15,25,0,0,9,7,0,0,226,0,0,0
"Aurantisolimonas",0,0,3,207,0,0,199,0,17,24,0,230,26,0,0,259,26,15,0,104,55,6,3,63,25,127,0,0,86,0,3,17,0,0,26,170,28,121,28,7,126,0,0,25,28,0,0
"Cellvibrio",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,27,0,0,24,3,16,0,7,0,16,0,0,8,7,0,4,0,0,0,5,33,50,540,64,6,34,0,0,574,14,0,18
"Cutibacterium",11,14,0,16,6,39,162,4,0,12,15,13,36,2,52,63,2,77,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,39,0,0,0,0,0,0,0,0,0,18,27,14,0
"Acidothermus",0,0,0,0,81,0,990,29,0,216,884,335,0,40,1118,46,0,15,110,35,37,142,99,161,143,289,21,45,0,33,27,157,10,28,0,3,0,0,0,18,0,0,0,0,0,0,0
"Legionella",0,0,27,714,0,27,0,0,0,0,14,14,0,0,5,0,0,75,0,6,0,21,17,0,0,87,5,5,4,0,15,11,0,6,29,8,50,3,0,14,15,0,0,0,19,0,0
"Schumannella",0,0,21,0,0,0,0,26,0,0,0,0,0,0,61,0,12,137,224,0,0,39,8,0,0,0,0,10,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Asticcacaulis",0,0,18,0,570,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,12,0,0,0,0,19,0,6,15,0,0,0,0,0,9,13,5,124,0,0,0,0,0,0,0,0,0
"Unclassified_Micromonosporaceae",0,0,0,0,0,0,110,161,0,0,23,0,382,0,33,26,33,136,105,118,86,260,33,138,232,225,44,42,55,28,90,41,9,0,274,321,177,0,0,0,8,0,0,0,43,0,0
"Pseudactinotalea",0,0,0,0,54,0,31,0,0,0,0,0,0,0,112,0,0,31,10,0,0,10,0,0,0,0,14,0,26,0,0,0,0,0,435,0,14,0,0,0,0,0,0,0,0,0,0
"Paenibacillus",0,0,9,0,0,0,241,41,109,200,0,127,11,0,416,178,98,825,0,0,280,0,8,4,4,34,14,2,0,5,298,131,2,538,53,7,58,15,0,26,0,0,9,1273,32,0,0
"Flavisolibacter",0,0,0,0,0,0,287,0,0,9,0,141,29,0,0,0,82,0,30,63,12,65,6,158,178,119,0,50,133,13,0,0,0,18,52,138,0,0,0,0,43,0,0,666,31,0,5
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,19,13,0,0,6,0,0,226,0,50,52,124,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Alysiosphaera",14,0,160,0,0,52,268,285,11,0,40,72,71,0,79,143,0,381,80,39,70,74,18,52,54,62,297,363,18,5,3,22,4,0,54,30,191,0,0,9,11,0,0,38,57,28,0
"Pedococcus-Phycicoccus",0,0,19,0,0,0,65,25,0,0,53,13,0,0,0,61,62,32,0,0,14,24,0,0,0,0,0,0,0,0,21,0,0,0,34,0,176,8,0,0,13,0,0,0,0,0,0
"Brucella",0,31,0,0,0,0,0,25,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,11,136,34,0,0,0,0,0,0,8,75
"Angustibacter",9,0,0,0,0,33,142,34,0,0,0,24,0,0,29,38,20,98,17,20,28,0,0,34,57,74,0,44,10,0,6,0,0,0,73,22,0,6,0,0,0,0,0,0,8,0,0
"Fimbriiglobus",0,0,67,67,26,0,80,22,0,18,0,29,34,80,781,0,66,454,61,67,11,84,11,69,67,196,24,171,31,0,6,18,0,0,11,18,35,22,0,0,43,0,0,59,0,18,0
"Acidicaldus",0,0,0,17,0,0,693,21,0,132,0,0,16,0,0,0,0,308,0,5,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0
"Unclassified_Polyangiaceae",0,0,0,0,0,0,47,0,0,0,0,42,0,0,0,0,0,10,93,281,166,13,0,94,392,59,24,53,20,9,0,0,3,26,0,183,43,0,23,12,7,0,0,0,223,15,0
"Piscinibacter",0,0,0,24,0,0,68,0,0,0,0,13,42,0,0,0,48,0,57,225,0,0,0,25,0,319,0,0,0,0,0,43,0,0,0,25,0,0,0,0,70,0,0,0,0,0,0
"Aeromicrobium",0,0,0,50,0,0,81,0,0,0,0,0,0,0,12,96,18,215,136,0,30,27,10,26,91,70,33,59,40,15,29,0,510,13,54,0,55,0,0,0,11,0,0,0,22,0,0
"Unclassified_JG30-KF-CM45",0,0,43,21,0,0,174,162,0,21,46,48,59,0,1990,37,102,3107,199,49,41,227,0,50,59,46,74,24,136,12,58,14,7,13,363,77,159,0,0,0,2,0,0,172,14,13,5
"Bryocella",0,0,0,0,0,25,1100,0,0,85,0,0,67,0,0,94,0,0,42,8,37,13,0,10,73,163,29,0,0,432,309,0,10,0,6,0,7,0,0,0,0,0,0,0,0,0,0
"Rubellimicrobium",16,11,67,0,214,0,261,117,0,3,0,11,0,166,622,122,0,0,24,0,0,4,0,14,12,0,0,17,8,0,0,38,0,17,5,10,44,0,0,0,13,0,0,41,0,0,0
"Gemmata",0,0,65,0,0,32,147,91,0,20,30,84,35,0,59,54,104,398,225,122,53,135,7,123,214,300,11,147,76,0,7,42,0,30,53,62,29,18,0,11,72,3,0,169,45,0,0
"Luteolibacter",0,0,39,0,77,0,85,30,0,0,0,0,0,0,0,0,0,0,21,0,7,5,6,10,4,9,3,32,57,0,21,0,0,0,19,40,196,331,0,0,0,0,0,555,0,0,0
"Phenylobacterium",0,0,68,0,30,56,311,0,0,40,52,154,0,0,0,0,45,19,22,0,37,0,0,13,0,14,0,0,21,0,0,0,0,0,0,15,24,0,0,32,23,0,0,334,0,16,10
"Prevotella_7",0,40,5,41,17,63,16,0,0,0,0,0,32,5,33,45,6,15,5,0,0,0,0,0,4,0,0,2,0,0,0,31,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0
"Calditerricola",13,14,0,75,56,38,36,0,0,0,0,7,0,79,49,18,0,5,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,19,0,0
"alphaI cluster",0,0,52,0,0,0,108,0,0,0,21,97,0,0,38,0,0,108,0,74,0,0,0,0,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"Ohtaekwangia",0,0,87,488,0,46,41,18,0,0,0,9,0,0,0,17,138,30,0,45,0,0,0,3,7,39,0,56,0,0,0,0,0,0,0,76,58,0,0,0,0,0,0,0,0,0,13
"Unclassified_Fimbriimonadaceae",5,0,9,0,0,0,244,38,0,156,20,68,35,0,55,28,26,15,23,81,57,0,17,56,82,127,15,31,113,26,11,0,0,15,68,65,50,4,0,0,14,0,7,26,0,27,0
"Unclassified_Neisseriaceae",18,0,13,0,0,0,51,0,0,0,0,104,0,0,20,0,0,0,0,0,2,0,0,0,2,0,0,36,0,0,0,0,2,0,0,0,27,4,17,136,47,0,309,23,50,0,0
"P3OB-42",0,0,0,41,0,0,299,0,0,4,0,32,8,0,271,83,69,684,77,92,37,36,5,43,116,152,15,91,79,121,37,302,49,319,46,80,124,9,0,0,33,0,0,31,0,14,3
"Williamsia",12,12,13,0,0,0,82,23,8,0,0,0,16,0,102,61,0,52,15,0,0,0,0,0,0,0,0,0,10,0,3,0,86,0,0,0,0,0,0,0,0,0,0,5,23,0,0
"Pseudochrobactrum",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,50,0,82,11,0,0,0,27,0,0,23,0,0,0,0,0,0,5,0,40,9,61,30,4,28,0,0,0,0,0,0,0
"Caulobacter",10,0,78,7,0,0,63,0,0,0,0,5,27,0,0,0,36,27,11,0,9,12,0,0,27,63,0,3,0,0,45,0,0,0,10,52,38,22,0,26,0,0,0,497,30,28,0
"Thermobrachium",18,8,0,82,0,0,79,18,0,0,44,0,0,46,0,57,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,6,0,0
"Patulibacter",0,0,10,0,0,0,612,0,0,6,0,8,0,0,0,50,12,1021,0,0,0,0,0,24,36,69,0,8,38,26,31,0,0,10,46,25,0,0,0,0,0,0,0,0,37,0,0
"RB41",0,0,0,0,0,13,29,113,0,4,0,345,38,0,0,0,159,0,85,133,37,24,0,186,63,212,12,208,0,16,0,34,0,27,42,35,67,0,0,0,18,0,0,0,14,0,0
"Azospirillum",0,67,24,127,69,0,52,0,0,7,41,5,13,0,5,5,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,16,0,0,28,8,7,0,0,0,0,0,0,0,0,0,0
"Acidisphaera",0,0,0,0,0,0,83,0,0,78,0,0,0,0,0,0,14,34,0,0,0,0,21,95,40,194,0,8,0,197,107,47,13,67,0,0,0,0,0,0,99,0,0,0,0,0,0
"Chthoniobacter",0,0,47,9,0,0,485,95,0,5,0,55,27,0,306,0,234,0,40,114,140,100,12,155,230,496,39,265,33,0,49,41,0,23,40,129,82,4,22,12,130,0,0,65,0,3,0
"Unclassified_Staphylococcaceae",0,0,0,0,0,71,83,0,0,0,0,0,0,0,76,0,33,31,0,0,0,0,0,0,0,0,0,0,40,0,4,0,0,0,0,54,0,0,0,13,0,0,0,0,3,0,0
"Amaricoccus",0,0,0,0,0,76,0,28,0,0,0,0,31,0,43,0,58,65,224,0,7,0,0,0,0,0,192,0,0,0,58,0,0,0,37,0,0,0,0,0,0,0,0,329,0,0,6
"Unclassified_Sandaracinaceae",0,0,8,0,0,42,0,70,0,0,0,9,0,0,0,0,42,50,75,31,51,32,37,140,63,67,15,174,0,26,176,0,5,0,5,296,25,0,0,0,30,0,0,44,38,0,3
"Edaphobaculum",0,0,6,11,55,0,1011,67,0,48,0,276,53,0,22,130,95,51,24,127,73,38,16,219,288,667,5,33,405,24,154,44,6,65,205,568,299,53,61,128,97,0,0,581,98,43,34
"Unclassified_Roseiflexaceae",0,0,49,84,0,0,289,128,16,0,0,86,12,0,36,0,42,143,45,10,6,9,0,24,0,26,0,42,13,6,3,0,0,0,38,79,17,84,0,0,7,0,0,16,16,6,0
"CL500-29 marine group",0,0,22,0,0,0,0,14,0,0,0,33,42,0,0,0,9,46,0,4,15,7,0,20,52,9,20,0,0,3,0,0,0,0,19,10,0,0,0,0,8,0,0,73,0,0,0
"Mesorhizobium",0,0,18,0,0,0,0,19,0,0,29,6,0,0,123,0,73,211,26,37,40,19,33,60,33,43,0,44,24,22,0,34,32,0,118,31,315,0,0,0,9,0,0,604,0,0,0
"Acidipila-Silvibacterium",0,0,0,0,0,0,30,0,0,10,0,25,5,0,0,0,0,0,160,11,14,18,10,7,16,193,0,0,0,295,22,109,15,135,12,0,20,4,0,0,0,0,0,0,0,0,0
"Methylocystis",0,0,0,0,0,37,178,22,0,0,31,0,0,0,17,0,39,55,28,0,0,0,0,0,23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Unclassified_Ktedonobacteraceae",0,0,0,0,0,0,212,55,0,554,306,50,0,0,268,0,0,43,0,10,0,0,0,6,7,47,29,17,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified_AKIW781",8,0,0,0,0,23,45,14,0,0,0,0,4,0,229,0,0,142,19,0,9,0,4,0,7,0,53,54,0,0,0,0,0,0,8,19,103,0,0,0,0,0,0,0,2,10,0
"Oligoflexus",3,0,14,0,0,0,85,4,0,0,0,19,0,0,9,0,10,156,113,9,27,8,8,8,60,25,13,36,117,0,133,42,3,24,92,50,142,0,0,10,25,0,9,396,0,0,0
"Deinococcus",0,17,10,10,0,21,398,81,0,9,0,157,18,0,12,6,95,62,9,17,0,0,0,24,10,249,0,15,4,0,0,6,3,19,2,0,0,0,0,14,23,0,0,0,5,2,0
"Shinella",0,0,0,64,0,0,0,13,0,0,0,0,0,0,0,0,60,332,0,0,0,14,0,0,0,0,95,0,0,0,0,0,21,20,0,0,33,393,0,0,0,0,0,0,0,0,0
"Abditibacterium",0,0,3,51,40,0,1040,55,0,3,0,151,33,0,17,17,40,136,18,53,13,0,14,7,63,69,0,36,41,6,30,0,0,18,15,19,86,16,27,0,33,0,0,25,0,0,0
"Roseomonas",0,0,165,0,0,0,139,44,0,10,0,43,100,27,196,0,42,605,8,12,0,77,0,20,10,17,0,0,46,40,0,29,3,0,41,39,29,11,176,13,13,0,0,120,56,0,0
"Pseudolabrys",0,0,0,0,0,63,0,0,0,7,0,0,0,0,103,0,0,61,0,0,0,0,0,0,0,28,0,0,31,0,0,22,0,0,0,0,0,0,0,0,0,0,0,20,14,34,0
"Pseudoxanthomonas",21,0,38,0,29,0,89,0,0,0,0,0,0,31,0,0,6,0,33,0,12,8,0,0,7,8,3,0,0,16,6,114,0,4,21,13,129,155,0,28,0,0,0,684,0,5,0
"Unclassified_Chroococcidiopsaceae",36,0,0,0,0,0,0,371,0,0,23,0,0,0,146,0,67,62,0,0,0,0,63,0,0,26,6,8,0,0,0,10,0,0,0,0,602,0,0,16,0,0,2,21,95,21,5
"Unclassified_Rhizobiales Incertae Sedis",0,0,451,0,0,0,50,63,0,0,0,13,14,0,0,0,71,0,0,9,0,45,0,13,3,8,0,0,0,5,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0
"Dyadobacter",0,0,59,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,6,0,0,87,9,5,10,11,0,44,38,7,0,0,14,0,18,28,24,111,22,0,0,0,0,14,0,0,0
"Unclassified_Nostocaceae",0,0,0,0,0,0,0,257,0,0,0,6,0,0,0,0,0,0,2,19,0,0,250,0,57,114,88,294,8,0,0,0,0,0,89,3,157,0,0,0,0,0,0,0,0,0,0
"Unclassified_Sphingobacteriaceae",0,0,32,0,0,0,235,0,0,0,0,4,11,0,0,0,99,0,15,0,40,0,0,12,23,119,17,0,26,0,0,0,0,0,8,43,32,0,0,0,0,0,0,0,39,0,0
"Rhodanobacter",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,17,52,31,24,19,90,146,215,20,20,42,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,8
"Variibacter",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,34,0,0,21,0,0,0,16,0,0,46,0,28,0,0,25,48,20,29,0,0,0,0,0,0,49,0,0,0
"Unclassified_Microscillaceae",0,0,77,24,235,0,121,0,0,0,21,12,0,0,0,0,0,0,0,8,0,0,0,34,30,7,0,0,0,0,9,149,0,0,25,10,8,0,12,0,0,0,0,0,0,0,35
"Rhodopila",0,0,0,0,0,0,130,0,0,103,83,48,40,0,223,76,0,0,217,0,27,21,9,65,67,247,0,16,0,67,201,53,0,0,24,17,16,0,0,20,0,0,0,0,7,0,0
"Microvirga",0,0,0,0,0,0,128,46,0,0,13,0,40,0,89,0,65,182,112,0,26,0,18,0,33,17,17,9,34,0,0,9,15,15,312,67,103,0,13,0,15,0,0,47,0,0,0
"Unclassified_Solirubrobacteraceae",0,0,0,0,68,0,113,0,0,11,156,82,22,0,32,0,9,194,70,0,0,36,11,74,46,170,19,0,0,0,0,0,0,0,36,0,89,0,0,0,0,0,0,0,0,0,0
"Acidisoma",0,0,0,0,31,0,0,15,0,60,0,8,0,0,0,0,0,0,109,39,0,10,0,12,18,39,28,14,0,38,251,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseiarcus",0,0,0,0,0,0,112,18,0,74,107,10,0,0,45,0,0,0,45,30,0,0,0,45,42,129,0,0,0,0,0,9,0,0,0,32,0,0,0,0,0,0,0,0,31,0,0
"Alicyclobacillus",0,0,0,53,46,0,50,0,0,0,33,0,0,80,6,0,0,4,0,0,0,0,0,0,9,3,0,0,0,4,0,66,0,0,0,0,0,0,25,0,0,0,0,91,0,0,4
"Unclassified_Rhodobacteraceae",0,0,292,0,84,32,41,110,0,0,0,0,0,41,12,0,31,20,48,0,0,0,0,0,0,0,17,14,10,0,8,0,0,11,9,36,0,0,0,0,0,0,0,193,0,23,0
"Gordonia",0,0,0,0,0,12,19,0,0,6,12,13,0,0,0,0,0,160,154,0,58,0,0,0,0,0,247,0,61,7,0,20,122,0,47,74,0,152,0,0,0,0,0,67,16,0,0
"Phaselicystis",0,0,0,0,0,0,0,21,0,0,0,13,20,0,0,0,0,0,23,32,22,14,16,45,49,92,27,109,38,35,38,13,0,0,227,109,19,0,21,20,43,0,4,0,30,4,0
"Unclassified_Rhodanobacteraceae",0,0,3,0,0,0,69,0,0,0,0,23,0,0,18,0,0,0,0,0,20,0,0,17,54,204,0,0,36,0,3,0,8,0,0,0,19,0,0,85,13,0,0,0,0,0,0
"Unclassified_Isosphaeraceae",0,0,17,0,0,15,143,19,0,58,22,29,0,0,297,153,45,206,16,8,15,20,0,7,22,132,102,44,13,17,52,60,2,11,0,44,18,0,0,0,45,0,0,52,7,0,0
"Thermomonas",6,0,0,0,0,31,113,0,0,0,0,0,0,0,0,0,0,49,209,0,0,17,0,0,0,0,0,0,0,0,22,0,13,0,24,66,195,35,0,0,0,0,0,121,0,0,28
"Unclassified_Acidobacteriaceae (Subgroup 1)",82,0,0,0,0,0,240,0,0,26,31,19,0,0,0,110,0,9,99,0,32,0,0,59,0,179,15,14,0,11,0,0,7,16,0,0,0,0,0,9,0,0,0,0,0,0,0
"Hirschia",0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,39,37,7,8,18,16,0,0,0,0,0,16,0,0,17,0,0,0,0,0,124,0,0,10
"Unclassified_Ilumatobacteraceae",0,0,77,0,0,0,161,0,0,0,41,29,0,0,31,0,15,76,0,29,0,35,0,17,37,25,84,90,28,0,0,0,0,39,70,41,88,0,0,9,0,0,0,264,63,16,0
"Chryseolinea",0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,11,0,0,0,21,7,3,36,17,0,0,0,0,0,90,6,39,0,0,0,0,0,0,48,0,0,0
"Pajaroellobacter",0,0,19,37,20,0,97,16,0,0,0,96,46,0,199,0,25,46,63,45,35,22,7,117,83,533,0,112,52,3,51,11,0,0,38,50,42,3,18,11,103,0,7,0,98,3,4
"Pseudaminobacter",0,0,0,0,0,0,0,67,0,0,0,0,56,0,0,0,18,24,56,0,0,16,0,0,0,0,66,17,0,0,24,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified_Devosiaceae",0,0,101,0,0,0,50,0,0,0,0,10,0,0,24,0,17,0,0,0,10,80,0,0,17,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,243,0,0,0
"Veillonella",0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,11,0,0,5,114,0,18,22,92,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,72,0,0,0
"Desulfotomaculum",2,0,0,0,0,0,0,0,19,0,0,0,0,54,0,104,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,24,8,0
"Unclassified_Micrococcaceae",8,0,0,0,0,0,0,0,0,0,34,14,0,3,0,140,0,13,0,0,0,0,0,0,0,0,0,0,17,0,0,36,0,0,0,130,0,0,0,0,0,0,9,0,0,0,0
"Subgroup 10",0,0,0,0,0,0,0,20,0,29,0,32,70,0,0,0,0,0,0,9,0,2,3,33,141,8,117,13,0,0,29,0,0,0,22,3,0,0,0,0,0,0,11,0,0,0,4
"Pseudorhodoplanes",0,0,37,0,0,0,0,0,0,9,0,24,0,0,0,0,0,123,0,0,25,37,0,0,18,14,0,0,12,0,0,0,19,0,35,23,50,0,0,0,0,0,0,250,0,19,0
"Hymenobacter",53,0,7,0,87,0,590,40,0,30,0,147,23,0,0,385,190,43,23,79,44,5,0,17,28,119,0,34,61,4,10,0,0,0,59,59,19,18,14,11,33,0,0,0,19,0,0
"JCM 18997",0,0,0,50,0,0,147,16,0,0,0,18,25,0,0,141,0,250,10,0,0,14,26,24,0,36,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,16,0,0
"Unclassified_Obscuribacteraceae",0,0,0,0,0,0,33,26,0,0,0,10,0,0,0,0,0,0,0,33,31,5,6,23,38,61,3,23,17,0,0,0,0,0,0,15,28,0,0,0,0,0,0,0,21,0,0
"Chitinophaga",0,0,35,0,0,20,166,0,0,0,0,0,0,0,0,66,0,39,0,5,0,0,4,7,10,0,0,0,12,0,22,50,0,0,9,0,275,13,0,0,0,0,0,0,0,0,0
"Rhodoplanes",0,0,24,0,0,0,0,0,0,0,15,16,27,0,80,0,170,19,93,41,58,53,0,101,84,78,9,102,0,0,0,49,3,0,0,0,0,0,0,0,0,0,0,21,13,0,0
"Unclassified_Gemmatimonadaceae",0,0,0,0,0,0,80,37,0,0,0,26,25,0,10,0,36,0,14,6,0,0,0,0,64,0,0,61,0,0,3,9,0,0,40,6,38,0,0,0,0,0,0,24,0,6,16
"Flavitalea",0,0,0,0,0,0,0,53,0,0,0,0,111,0,0,52,0,0,0,4,0,29,0,0,18,43,0,42,62,11,23,0,0,95,32,0,129,3,0,0,31,0,0,43,0,0,0
"Iamia",0,0,107,0,0,0,0,14,0,38,0,62,0,0,0,0,0,177,124,0,23,0,0,9,52,68,9,13,15,8,23,17,30,18,76,41,56,0,7,0,0,0,0,23,5,0,0
"Parviterribacter",0,0,10,0,0,0,0,0,0,0,0,7,14,0,0,0,17,94,7,0,17,0,0,3,11,15,34,0,0,0,0,0,25,0,23,22,0,0,0,0,0,0,0,75,0,0,0
"Taibaiella",0,0,47,0,0,0,204,45,0,0,0,0,22,0,0,0,20,5,0,20,27,7,0,25,27,4,0,21,79,15,44,32,0,0,0,12,110,155,21,18,58,0,0,22,38,0,0
"Altererythrobacter",0,10,0,0,0,0,294,0,0,0,0,55,37,0,0,7,169,0,6,28,14,0,0,20,19,49,5,30,53,0,0,0,18,0,36,24,25,0,0,0,0,0,5,168,0,0,0
"Unclassified_SM2D12",0,0,0,0,421,38,163,56,0,9,0,43,8,0,27,50,26,0,7,39,26,0,6,57,39,127,8,41,21,0,0,0,2,23,45,33,47,0,0,23,119,0,0,84,70,18,0
