"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Bradyrhizobium",0,0,25,27,0,117,148,22,0,0,0,202,49,0,108,0,153,88,194,241,468,299,185,450,254,452,110,286,117,30,0,0,0,0,100,73,158,0,0,33,64,0,27,335,0,57,0
"Mycoplasma",0,0,4,0,47,640,0,0,0,0,18,8,0,0,35,345,0,0,35,16,0,0,0,5,38,22,14,0,136,0,31,19,9,180,5,17,31,0,0,95,151,0,0,0,2017,190,0
"Halomonas",103,408,18,668,672,599,1173,281,0,18,413,85,114,626,596,939,42,356,109,0,0,59,9,0,0,65,24,5,60,164,21,237,4,162,48,23,0,14,121,149,122,0,73,486,273,91,29
"Curtobacterium",20,33,824,43,81,0,138,44,0,37,0,38,0,0,237,1328,74,967,146,0,0,25,0,0,42,21,0,0,0,38,41,20,0,14,0,0,0,0,0,0,0,0,0,43,22,21,0
"Unclassified_Beijerinckiaceae",15,0,12,51,0,68,3073,397,0,626,124,776,562,0,2080,318,185,2425,345,421,411,411,124,437,246,913,113,294,519,203,111,469,0,27,440,402,349,32,28,6,497,0,0,243,89,32,11
"Mycobacterium",0,0,71,127,77,195,468,233,24,365,92,379,92,0,1573,367,113,921,1018,275,551,590,306,819,513,1083,1970,522,169,335,177,600,117,520,832,670,425,80,0,127,19,0,0,259,102,28,0
"Lapillicoccus",0,0,66,0,32,81,57,0,0,67,95,0,67,0,3446,186,0,467,0,0,0,0,133,0,0,0,371,61,14,0,20,0,0,0,38,0,0,34,0,0,0,0,0,0,0,0,0
"Unclassified_Rhizobiaceae",0,0,334,43,57,27,314,52,12,25,28,92,17,0,779,145,77,3203,90,0,11,87,121,18,89,337,210,101,86,112,86,203,72,40,213,107,635,2760,10,85,77,0,0,36,107,0,78
"Unclassified_67-14",0,0,113,0,0,72,974,203,0,153,107,311,119,0,2493,170,101,3985,362,57,400,291,181,528,425,1974,554,264,134,71,93,220,4,105,423,217,1065,6,42,20,116,2,5,106,9,0,5
"Haliangium",0,0,21,0,60,41,303,0,0,19,35,355,108,0,40,108,136,40,2377,432,108,98,35,309,900,770,530,196,16,0,15,90,2,78,102,100,192,6,0,285,282,0,0,179,200,267,53
"Kocuria",50,828,0,0,42,0,246,77,0,0,0,0,163,217,87,106,0,2161,0,0,0,38,0,0,0,0,0,0,67,30,53,164,30,213,117,24,0,57,219,125,124,0,0,245,69,240,113
"Nostoc PCC-7107",0,0,0,0,0,0,144,86,0,0,99,39,16,61,154,0,21,0,3060,0,0,0,0,0,38,12,17,34,0,0,0,0,0,0,11,0,138,11,0,0,162,0,0,0,0,0,0
"Micrococcus",0,25,7,88,253,39,62,166,485,0,23,14,445,69,30,287,0,229,0,0,0,11,0,11,21,8,0,0,17,21,18,49,0,0,11,0,0,0,53,14,21,0,90,334,100,32,0
"LD29",13,0,0,0,23,71,1974,54,0,252,19,103,99,0,0,207,79,255,39,907,280,151,22,376,233,1112,234,91,200,43,134,0,34,0,69,92,137,40,27,0,132,0,0,0,0,0,0
"Unclassified_Caulobacteraceae",9,0,41,41,164,52,1767,190,0,316,62,235,173,0,41,215,103,86,149,425,69,47,0,381,590,1628,60,61,146,1062,418,1287,215,477,145,150,265,45,0,48,0,0,0,58,28,0,0
"Nocardioides",0,24,485,90,146,300,2457,202,19,13,133,400,178,0,7059,516,274,9268,453,109,404,547,143,299,624,1487,159,431,648,79,99,116,11,58,1715,584,1534,18,62,11,164,2,0,1091,135,13,6
"Clostridium sensu stricto 10",38,102,0,161,176,277,296,60,41,0,60,22,10,177,195,362,18,78,0,0,0,23,0,0,9,19,0,0,21,41,14,22,0,45,12,0,0,0,18,19,58,0,13,240,58,0,6
"Terriglobus",96,0,8,0,122,143,1347,39,0,133,0,8,127,0,0,214,0,27,13,104,3,0,0,74,75,417,47,21,154,85,297,27,24,15,93,32,125,41,0,17,46,0,0,43,66,26,0
"Conexibacter",5,0,151,0,0,94,1509,87,17,787,382,504,98,0,77,27,109,2189,519,243,277,263,410,431,473,2835,200,544,94,335,134,907,83,1051,276,178,210,0,0,11,16,0,0,0,117,0,0
