"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Nesterenkonia","250607_10",-0.257887503009653,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_10",-0.588589884415568,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_10",-0.451181990366962,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_10",-0.196961247554866,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_10",-0.359716109483995,"Clostridium sensu stricto 12"
"Halomonas","250607_10",-0.276128242277982,"Halomonas"
"Staphylococcus","250607_10",0.680513019151253,"Staphylococcus"
"Mycoplasma","250607_10",0.89558652709774,"Mycoplasma"
"Tumebacillus","250607_10",-0.640306325526138,"Tumebacillus"
"Bacillus","250607_10",-0.762735439971364,"Bacillus"
"Paracoccus","250607_10",1.29085396479805,"Paracoccus"
"Acinetobacter","250607_10",1.56428744188807,"Acinetobacter"
"Chryseobacterium","250607_10",2.26401890189796,"Chryseobacterium"
"Pseudomonas","250607_10",2.28665746571324,"Pseudomonas"
"Unclassified_Bacteria","250607_07",-0.270934786693076,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_07",-0.564617696340838,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_07",-0.865164353476521,"Actinomycetospora"
"1174-901-12","250607_07",-0.785280829436154,"1174-901-12"
"Marmoricola","250607_07",-1.00574643436802,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_07",-0.787816303579669,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_07",-0.687123439565062,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_07",-0.913851140043461,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_07",-0.866803313211326,"Jatrophihabitans"
"Methylocella","250607_07",-0.885482948464103,"Methylocella"
"Conexibacter","250607_07",-0.882973594888398,"Conexibacter"
"Actinoplanes","250607_07",-0.897525914372286,"Actinoplanes"
"Pseudonocardia","250607_07",-0.920600260478425,"Pseudonocardia"
"Unclassified_67-14","250607_07",-1.0410395224794,"Uncl. 67-14"
"Corynebacterium","250607_07",-0.158743542608998,"Corynebacterium"
"Caldalkalibacillus","250607_07",0.491345908736312,"Caldalkalibacillus"
"Nesterenkonia","250607_07",0.521898771988257,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_07",0.288201234178653,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_07",0.321492289023704,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_07",0.541512255537629,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_07",0.409043797141109,"Clostridium sensu stricto 12"
"Halomonas","250607_07",0.445655160385014,"Halomonas"
"Staphylococcus","250607_07",0.973029262647743,"Staphylococcus"
"Mycoplasma","250607_07",0.87968754626284,"Mycoplasma"
"Tumebacillus","250607_07",0.0132809075973052,"Tumebacillus"
"Bacillus","250607_07",0.141612026996254,"Bacillus"
"Paracoccus","250607_07",0.913770418650909,"Paracoccus"
"Acinetobacter","250607_07",1.21449977854997,"Acinetobacter"
"Chryseobacterium","250607_07",0.949218113351895,"Chryseobacterium"
"Pseudomonas","250607_07",1.1269542695351,"Pseudomonas"
"Unclassified_Bacteria","250607_08",-0.0484137780453771,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_08",-0.275103835020936,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_08",-0.625290604349466,"Actinomycetospora"
"1174-901-12","250607_08",-0.526114618944011,"1174-901-12"
"Marmoricola","250607_08",-0.960450490527779,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_08",-0.698960808889233,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_08",-0.62128075791081,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_08",-0.775504069831748,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_08",-0.752523165057403,"Jatrophihabitans"
"Methylocella","250607_08",-0.778578380047466,"Methylocella"
"Conexibacter","250607_08",-0.812619136508085,"Conexibacter"
"Actinoplanes","250607_08",-0.871866277563536,"Actinoplanes"
"Pseudonocardia","250607_08",-0.795959616212025,"Pseudonocardia"
"Unclassified_67-14","250607_08",-0.920039236083004,"Uncl. 67-14"
"Corynebacterium","250607_08",0.169327171458171,"Corynebacterium"
"Caldalkalibacillus","250607_08",0.800612611314732,"Caldalkalibacillus"
"Nesterenkonia","250607_08",0.811882688581588,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_08",0.526932291954944,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_08",0.52063200733227,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_08",0.815863334368573,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_08",0.639692580490385,"Clostridium sensu stricto 12"
"Halomonas","250607_08",0.667318282886056,"Halomonas"
"Staphylococcus","250607_08",1.28424278408002,"Staphylococcus"
"Mycoplasma","250607_08",0.955873902378658,"Mycoplasma"
"Tumebacillus","250607_08",0.0689986293559119,"Tumebacillus"
"Bacillus","250607_08",0.341442470397689,"Bacillus"
"Paracoccus","250607_08",0.879186362907598,"Paracoccus"
"Acinetobacter","250607_08",1.32863330107645,"Acinetobacter"
"Chryseobacterium","250607_08",0.758103306177683,"Chryseobacterium"
"Pseudomonas","250607_08",1.03983271268734,"Pseudomonas"
"Unclassified_Bacteria","250607_01",-0.521938018765953,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_01",-0.988532951070056,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_01",-1.31882506190829,"Actinomycetospora"
"1174-901-12","250607_01",-1.23754748134611,"1174-901-12"
"Marmoricola","250607_01",-1.22757745823682,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_01",-1.00064444017836,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_01",-0.844187206769504,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_01",-1.22805754275441,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_01",-1.13470878268469,"Jatrophihabitans"
"Methylocella","250607_01",-1.14935963967744,"Methylocella"
"Conexibacter","250607_01",-1.09949679410697,"Conexibacter"
"Actinoplanes","250607_01",-1.06294652915928,"Actinoplanes"
"Pseudonocardia","250607_01",-1.21850561060642,"Pseudonocardia"
"Unclassified_67-14","250607_01",-1.37471451484231,"Uncl. 67-14"
"Corynebacterium","250607_01",-0.616689784933965,"Corynebacterium"
"Caldalkalibacillus","250607_01",0.188354560557811,"Caldalkalibacillus"
"Nesterenkonia","250607_01",0.244329203130218,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_01",0.00657872621751786,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_01",0.0882470053812681,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_01",0.283749880854278,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_01",0.163343415517564,"Clostridium sensu stricto 12"
"Halomonas","250607_01",0.217772809329733,"Halomonas"
"Staphylococcus","250607_01",0.807092874251301,"Staphylococcus"
"Mycoplasma","250607_01",0.92004473345554,"Mycoplasma"
"Tumebacillus","250607_01",-0.131493353799934,"Tumebacillus"
"Bacillus","250607_01",-0.132351553632397,"Bacillus"
