"taxon","structural_zero (Site = Lost Iguana)","structural_zero (Site = Veragua)","structural_zero (Site = Altos de Campana)","structural_zero (Site = Soberanía)"
"Achromobacter",FALSE,FALSE,TRUE,FALSE
"Unclassified_Simkaniaceae",FALSE,TRUE,FALSE,FALSE
"Cytophaga",TRUE,TRUE,FALSE,FALSE
"Unclassified_Acetobacteraceae",FALSE,FALSE,FALSE,FALSE
"Bosea",FALSE,FALSE,FALSE,FALSE
"Rhizorhapis",FALSE,FALSE,FALSE,FALSE
"Sediminibacterium",TRUE,FALSE,FALSE,FALSE
"Micromonospora",TRUE,FALSE,FALSE,FALSE
"Unclassified_Micropepsaceae",TRUE,FALSE,FALSE,FALSE
"Unclassified_Nocardioidaceae",TRUE,FALSE,FALSE,FALSE
"Cellulomonas",TRUE,TRUE,TRUE,FALSE
"Rhodococcus",FALSE,FALSE,FALSE,FALSE
"Scytonema VB-61278",TRUE,FALSE,FALSE,FALSE
"Kineosporia",FALSE,FALSE,FALSE,FALSE
"Granulicella",FALSE,FALSE,FALSE,FALSE
"Unclassified_Xanthobacteraceae",FALSE,FALSE,FALSE,FALSE
"Flexivirga",TRUE,FALSE,FALSE,FALSE
"Truepera",TRUE,FALSE,FALSE,FALSE
"Solirubrobacter",FALSE,FALSE,FALSE,FALSE
"Aetokthonos AEL04",TRUE,FALSE,FALSE,TRUE
"Anaerococcus",FALSE,FALSE,FALSE,FALSE
"Labrys",FALSE,FALSE,FALSE,FALSE
"Unclassified_BIrii41",FALSE,FALSE,FALSE,FALSE
"Thermoanaerobacterium",FALSE,FALSE,FALSE,FALSE
"Unclassified_Comamonadaceae",FALSE,FALSE,FALSE,FALSE
"Brevundimonas",FALSE,FALSE,FALSE,FALSE
"Finegoldia",FALSE,FALSE,TRUE,FALSE
"Acidiphilium",TRUE,FALSE,FALSE,FALSE
"Paracoccus",FALSE,FALSE,FALSE,FALSE
"Acidibacter",TRUE,FALSE,FALSE,FALSE
"Dactylosporangium",TRUE,TRUE,FALSE,FALSE
"Burkholderia-Caballeronia-Paraburkholderia",FALSE,FALSE,FALSE,FALSE
"Pseudorhizobium",TRUE,TRUE,FALSE,FALSE
"Novosphingobium",FALSE,FALSE,FALSE,FALSE
"Bryobacter",FALSE,FALSE,FALSE,FALSE
"Pedobacter",FALSE,FALSE,FALSE,FALSE
"Unclassified_Lachnospiraceae",TRUE,FALSE,FALSE,FALSE
"Candidatus Solibacter",TRUE,FALSE,FALSE,TRUE
"Rhodopseudomonas",FALSE,FALSE,FALSE,FALSE
"MN 122.2a",TRUE,FALSE,FALSE,FALSE
"Unclassified_Solimonadaceae",FALSE,FALSE,FALSE,FALSE
"Duganella",TRUE,FALSE,TRUE,TRUE
"Xylophilus",FALSE,FALSE,FALSE,TRUE
"Ellin6055",FALSE,FALSE,FALSE,FALSE
"Spirosoma",FALSE,FALSE,FALSE,FALSE
"Unclassified_Chthoniobacteraceae",TRUE,TRUE,FALSE,FALSE
"Acuticoccus",FALSE,TRUE,FALSE,TRUE
"Aurantisolimonas",FALSE,FALSE,FALSE,FALSE
"Cellvibrio",FALSE,TRUE,FALSE,FALSE
"Cutibacterium",FALSE,FALSE,TRUE,TRUE
"Acidothermus",TRUE,FALSE,FALSE,FALSE
"Legionella",FALSE,FALSE,FALSE,FALSE
"Schumannella",TRUE,FALSE,FALSE,TRUE
"Asticcacaulis",TRUE,TRUE,FALSE,FALSE
"Unclassified_Micromonosporaceae",TRUE,FALSE,FALSE,FALSE
"Pseudactinotalea",TRUE,FALSE,FALSE,FALSE
"Paenibacillus",FALSE,FALSE,FALSE,FALSE
"Flavisolibacter",FALSE,FALSE,FALSE,FALSE
"Abiotrophia",TRUE,TRUE,FALSE,TRUE
"Candidatus Alysiosphaera",FALSE,FALSE,FALSE,FALSE
"Pedococcus-Phycicoccus",TRUE,FALSE,TRUE,FALSE
"Brucella",FALSE,TRUE,TRUE,FALSE
"Angustibacter",TRUE,FALSE,FALSE,FALSE
"Fimbriiglobus",FALSE,FALSE,FALSE,FALSE
"Acidicaldus",TRUE,FALSE,TRUE,TRUE
"Unclassified_Polyangiaceae",FALSE,TRUE,FALSE,FALSE
"Piscinibacter",TRUE,FALSE,FALSE,TRUE
"Aeromicrobium",TRUE,FALSE,FALSE,FALSE
"Unclassified_JG30-KF-CM45",FALSE,FALSE,FALSE,FALSE
"Bryocella",TRUE,FALSE,FALSE,FALSE
"Rubellimicrobium",TRUE,FALSE,FALSE,FALSE
"Gemmata",FALSE,FALSE,FALSE,FALSE
"Luteolibacter",TRUE,FALSE,FALSE,FALSE
"Phenylobacterium",FALSE,FALSE,FALSE,FALSE
"Prevotella_7",TRUE,FALSE,FALSE,TRUE
"Calditerricola",TRUE,FALSE,TRUE,FALSE
"alphaI cluster",TRUE,FALSE,FALSE,TRUE
"Ohtaekwangia",TRUE,FALSE,FALSE,TRUE
"Unclassified_Fimbriimonadaceae",FALSE,FALSE,FALSE,FALSE
"Unclassified_Neisseriaceae",FALSE,FALSE,FALSE,FALSE
"P3OB-42",FALSE,FALSE,FALSE,FALSE
"Williamsia",TRUE,FALSE,TRUE,FALSE
"Pseudochrobactrum",TRUE,TRUE,FALSE,FALSE
"Caulobacter",FALSE,FALSE,FALSE,FALSE
"Thermobrachium",TRUE,FALSE,TRUE,TRUE
"Patulibacter",TRUE,FALSE,FALSE,FALSE
"RB41",TRUE,FALSE,FALSE,FALSE
"Azospirillum",TRUE,FALSE,TRUE,FALSE
"Acidisphaera",TRUE,FALSE,FALSE,FALSE
"Chthoniobacter",FALSE,FALSE,FALSE,FALSE
"Unclassified_Staphylococcaceae",TRUE,FALSE,TRUE,FALSE
"Amaricoccus",TRUE,FALSE,FALSE,TRUE
"Unclassified_Sandaracinaceae",FALSE,FALSE,FALSE,FALSE
"Edaphobaculum",FALSE,FALSE,FALSE,FALSE
"Unclassified_Roseiflexaceae",FALSE,FALSE,FALSE,FALSE
"CL500-29 marine group",TRUE,FALSE,FALSE,FALSE
"Mesorhizobium",TRUE,FALSE,FALSE,FALSE
"Acidipila-Silvibacterium",TRUE,FALSE,FALSE,FALSE
"Methylocystis",TRUE,FALSE,FALSE,TRUE
"Unclassified_Ktedonobacteraceae",TRUE,FALSE,FALSE,TRUE
"Unclassified_AKIW781",TRUE,FALSE,FALSE,FALSE
"Oligoflexus",FALSE,FALSE,FALSE,FALSE
"Deinococcus",FALSE,FALSE,FALSE,FALSE
"Shinella",TRUE,FALSE,TRUE,FALSE
"Abditibacterium",FALSE,FALSE,FALSE,FALSE
"Roseomonas",FALSE,FALSE,FALSE,FALSE
"Pseudolabrys",FALSE,FALSE,TRUE,TRUE
"Pseudoxanthomonas",FALSE,FALSE,FALSE,FALSE
"Unclassified_Chroococcidiopsaceae",FALSE,FALSE,FALSE,TRUE
"Unclassified_Rhizobiales Incertae Sedis",TRUE,FALSE,FALSE,FALSE
"Dyadobacter",TRUE,TRUE,FALSE,FALSE
"Unclassified_Nostocaceae",TRUE,TRUE,FALSE,FALSE
"Unclassified_Sphingobacteriaceae",TRUE,FALSE,FALSE,FALSE
"Rhodanobacter",TRUE,TRUE,FALSE,FALSE
"Variibacter",TRUE,TRUE,FALSE,FALSE
"Unclassified_Microscillaceae",TRUE,FALSE,FALSE,FALSE
"Rhodopila",TRUE,FALSE,FALSE,FALSE
"Microvirga",FALSE,FALSE,FALSE,FALSE
"Unclassified_Solirubrobacteraceae",TRUE,FALSE,FALSE,TRUE
"Acidisoma",TRUE,FALSE,FALSE,FALSE
"Roseiarcus",TRUE,FALSE,FALSE,TRUE
"Alicyclobacillus",FALSE,FALSE,TRUE,TRUE
"Unclassified_Rhodobacteraceae",TRUE,FALSE,FALSE,FALSE
"Gordonia",TRUE,FALSE,FALSE,FALSE
"Phaselicystis",FALSE,TRUE,FALSE,FALSE
"Unclassified_Rhodanobacteraceae",TRUE,FALSE,FALSE,FALSE
"Unclassified_Isosphaeraceae",FALSE,FALSE,FALSE,FALSE
"Thermomonas",TRUE,FALSE,TRUE,FALSE
"Unclassified_Acidobacteriaceae (Subgroup 1)",TRUE,FALSE,FALSE,FALSE
"Hirschia",TRUE,TRUE,FALSE,FALSE
"Unclassified_Ilumatobacteraceae",FALSE,FALSE,FALSE,FALSE
"Chryseolinea",TRUE,TRUE,FALSE,FALSE
"Pajaroellobacter",FALSE,FALSE,FALSE,FALSE
"Pseudaminobacter",TRUE,FALSE,FALSE,TRUE
"Unclassified_Devosiaceae",TRUE,FALSE,FALSE,TRUE
"Veillonella",TRUE,TRUE,FALSE,TRUE
"Desulfotomaculum",FALSE,FALSE,TRUE,TRUE
"Unclassified_Micrococcaceae",TRUE,FALSE,TRUE,FALSE
"Subgroup 10",TRUE,FALSE,FALSE,FALSE
"Pseudorhodoplanes",TRUE,FALSE,FALSE,FALSE
"Hymenobacter",FALSE,FALSE,FALSE,FALSE
"JCM 18997",TRUE,FALSE,FALSE,TRUE
"Unclassified_Obscuribacteraceae",TRUE,TRUE,FALSE,FALSE
"Chitinophaga",TRUE,FALSE,FALSE,FALSE
"Rhodoplanes",TRUE,FALSE,FALSE,TRUE
"Unclassified_Gemmatimonadaceae",FALSE,FALSE,FALSE,FALSE
"Flavitalea",TRUE,TRUE,FALSE,FALSE
"Iamia",FALSE,FALSE,FALSE,FALSE
"Parviterribacter",TRUE,FALSE,FALSE,FALSE
"Taibaiella",FALSE,FALSE,FALSE,FALSE
"Altererythrobacter",TRUE,FALSE,FALSE,FALSE
"Unclassified_SM2D12",FALSE,FALSE,FALSE,FALSE
"Reyranella",TRUE,FALSE,FALSE,FALSE
"Bdellovibrio",FALSE,FALSE,FALSE,FALSE
"Gaiella",FALSE,FALSE,FALSE,FALSE
"Pedomicrobium",TRUE,FALSE,FALSE,FALSE
"Hyphomicrobium",FALSE,FALSE,FALSE,FALSE
"Unclassified_Blastocatellaceae",FALSE,FALSE,FALSE,FALSE
"OM27 clade",TRUE,TRUE,FALSE,FALSE
"Unclassified_Gemmataceae",FALSE,FALSE,FALSE,FALSE
"Geobacillus",TRUE,FALSE,TRUE,TRUE
"Luteimonas",TRUE,TRUE,FALSE,FALSE
"Puia",TRUE,TRUE,FALSE,FALSE
"Unclassified_Caldilineaceae",TRUE,FALSE,TRUE,FALSE
"Unclassified_Rickettsiaceae",FALSE,FALSE,FALSE,FALSE
"Unclassified_env.OPS 17",FALSE,FALSE,FALSE,FALSE
"Unclassified_37-13",TRUE,TRUE,FALSE,FALSE
