"Genus","Sample_ID","Row_scaled_rCLR","Genus_full"
"Rhizobium complex","250607_05",-0.717534727924056,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_07",0.485977101464256,"Acinetobacter"
"Staphylococcus","250607_07",1.15786282442967,"Staphylococcus"
"Micrococcus","250607_07",0.880070723281935,"Micrococcus"
"Pseudomonas","250607_07",-0.0178616588350787,"Pseudomonas"
"Stenotrophomonas","250607_07",-0.436909843115566,"Stenotrophomonas"
"Bosea","250607_07",-0.80466916671087,"Bosea"
"Curtobacterium","250607_07",-1.30007892095971,"Curtobacterium"
"Chryseobacterium","250607_07",-1.37985798068398,"Chryseobacterium"
"Novosphingobium","250607_07",-0.231591657805067,"Novosphingobium"
"Brevundimonas","250607_07",-0.483629974550398,"Brevundimonas"
"Uncl. Bacillaceae","250607_07",1.02964119627238,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_07",-0.0900123820393139,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_07",-1.37070373486382,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_02",0.76716417273578,"Acinetobacter"
"Staphylococcus","250607_02",0.843644975022703,"Staphylococcus"
"Micrococcus","250607_02",-1.39920650781392,"Micrococcus"
"Pseudomonas","250607_02",-0.220054443136525,"Pseudomonas"
"Stenotrophomonas","250607_02",-0.490258083921673,"Stenotrophomonas"
"Bosea","250607_02",1.11925723862232,"Bosea"
"Curtobacterium","250607_02",0.161729104973881,"Curtobacterium"
"Chryseobacterium","250607_02",0.255259220247949,"Chryseobacterium"
"Novosphingobium","250607_02",-1.33044733687951,"Novosphingobium"
"Brevundimonas","250607_02",-1.60485754516732,"Brevundimonas"
"Uncl. Bacillaceae","250607_02",1.14485131546975,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_02",1.36932214955396,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_02",0.098969867251635,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_04",0.138045174048545,"Acinetobacter"
"Staphylococcus","250607_04",1.1926818075053,"Staphylococcus"
"Micrococcus","250607_04",-0.0502555213271562,"Micrococcus"
"Pseudomonas","250607_04",-1.01411234568794,"Pseudomonas"
"Stenotrophomonas","250607_04",-1.40733664320603,"Stenotrophomonas"
"Bosea","250607_04",0.725366484643895,"Bosea"
"Curtobacterium","250607_04",-1.0784202160122,"Curtobacterium"
"Chryseobacterium","250607_04",-0.847255523630767,"Chryseobacterium"
"Novosphingobium","250607_04",-1.63593489980005,"Novosphingobium"
"Brevundimonas","250607_04",-1.69025105277068,"Brevundimonas"
"Uncl. Bacillaceae","250607_04",1.52545719105853,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_04",1.45577702316142,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_04",-0.736280284618008,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_03",0.732626854260043,"Acinetobacter"
