"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Prevotella_7",0.382978723404255,18,0.000177696083959999,TRUE
"Calditerricola",0.319148936170213,15,0.000231630810284938,TRUE
"alphaI cluster",0.212765957446809,10,0.000176845524942769,TRUE
"Ohtaekwangia",0.361702127659574,17,0.000602791248094571,TRUE
"Yersinia",0.0425531914893617,2,1.73440556881557e-05,FALSE
"Caedibacter",0.191489361702128,9,0.000284496299640331,FALSE
"Lachnoclostridium",0.127659574468085,6,0.000297050335409078,FALSE
"Arenimonas",0.0638297872340425,3,0.000290675229591905,FALSE
"ZOR0006",0.127659574468085,6,0.000159153884319471,FALSE
"Unclassified_Fimbriimonadaceae",0.702127659574468,33,0.000715942050419997,TRUE
"Advenella",0.0212765957446809,1,3.4232036001734e-05,FALSE
"Unclassified_Neisseriaceae",0.361702127659574,17,0.000432058257202818,TRUE
"P3OB-42",0.702127659574468,33,0.00104744750299171,TRUE
"Ahniella",0.0851063829787234,4,9.92222401188344e-05,FALSE
"Williamsia",0.340425531914894,16,0.000282140806995353,TRUE
"Saccharibacillus",0.0851063829787234,4,6.75970405184755e-05,FALSE
"Pseudochrobactrum",0.276595744680851,13,0.000132839770543854,TRUE
"Hungatella",0.0212765957446809,1,9.954025178893e-05,FALSE
"Caulobacter",0.48936170212766,23,0.000366996682732805,TRUE
"Thermobrachium",0.25531914893617,12,0.000214097386212876,TRUE
"Unclassified_Morganellaceae",0.0425531914893617,2,7.16961049901353e-05,FALSE
"EcFYyy-200",0.170212765957447,8,0.000225745032476105,FALSE
"Patulibacter",0.382978723404255,18,0.000320265216159958,TRUE
"Pseudoclavibacter",0.0851063829787234,4,5.91674503923327e-05,FALSE
"Unclassified_Dermabacteraceae",0.0851063829787234,4,0.000280944890552645,FALSE
"Cellulosimicrobium",0.0212765957446809,1,0.0001720351521206,FALSE
"RB41",0.51063829787234,24,0.00087377502305173,TRUE
"Azospirillum",0.382978723404255,18,0.000299708958582316,TRUE
