"Genus","Sample_ID","Site","Relative_abundance_percent","Detected"
"Acinetobacter","220604_01","Veragua",3.74560080442433,TRUE
"Acinetobacter","220604_02","Veragua",4.8175456135966,TRUE
"Acinetobacter","220604_03","Veragua",0.910218683284288,TRUE
"Acinetobacter","220604_04","Veragua",3.6743923120407,TRUE
"Acinetobacter","220604_05","Veragua",2.34002993061539,TRUE
"Acinetobacter","220604_06","Veragua",2.66393442622951,TRUE
"Acinetobacter","220604_07","Veragua",0.705734089477,TRUE
"Acinetobacter","220606_02","Veragua",1.40285984933917,TRUE
"Acinetobacter","220606_04","Veragua",2.21760221760222,TRUE
"Acinetobacter","220607_01","Veragua",0.127632418634333,TRUE
"Acinetobacter","220607_02","Veragua",3.11216573879712,TRUE
"Acinetobacter","220607_03","Veragua",0.652693882515101,TRUE
"Acinetobacter","220607_04","Veragua",0.880042978843153,TRUE
"Acinetobacter","220609_01","Veragua",4.44496892455354,TRUE
"Acinetobacter","220609_02","Veragua",0.628196445669181,TRUE
"Acinetobacter","220609_03","Veragua",1.94839129534496,TRUE
"Acinetobacter","220609_04","Veragua",0.888862196330441,TRUE
"Acinetobacter","220609_07","Veragua",0.342408351890429,TRUE
"Acinetobacter","220707_11","Altos de Campana",0.73733786287832,TRUE
"Acinetobacter","220707_12","Altos de Campana",0.159720784406519,TRUE
"Acinetobacter","220707_13","Altos de Campana",0.0407188229545578,TRUE
"Acinetobacter","220707_14","Altos de Campana",0.597999420121774,TRUE
"Acinetobacter","220707_15","Altos de Campana",0.0308791742026556,TRUE
"Acinetobacter","220707_16","Altos de Campana",0.0498687664041995,TRUE
"Acinetobacter","220707_17","Altos de Campana",0.141352480548398,TRUE
"Acinetobacter","220707_18","Altos de Campana",0.143787833064101,TRUE
"Acinetobacter","220707_19","Altos de Campana",0.243818343020392,TRUE
"Acinetobacter","220707_20","Altos de Campana",0.0380859109333769,TRUE
"Acinetobacter","220708_01","Soberanía",0.659286419404879,TRUE
"Acinetobacter","220708_02","Soberanía",0.342304302375633,TRUE
"Acinetobacter","220708_03","Soberanía",0.142378311037285,TRUE
"Acinetobacter","220708_04","Soberanía",0.87159426257635,TRUE
"Acinetobacter","220708_05","Soberanía",0.0841337726985908,TRUE
"Acinetobacter","220708_06","Soberanía",0.546294011912734,TRUE
