"Genus","Mean_relative_abundance_percent","Prevalence","Prevalence_samples","Inhibitory_ASVs","Max_identity","Max_query_coverage","Whole_ANCOMBC2_global_q","Whole_ANCOMBC2_robust_global","Whole_ALDEx2_global_q","Anti_only_ANCOMBC2_global_q","Anti_only_ANCOMBC2_robust_global","Anti_only_ALDEx2_global_q","Woodhams_function","Passes_20pct_anti_prevalence","Site_association_supported","Priority_rank"
"Cronobacter",0.029060542201969,0.0212765957446809,1,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,35
"Escherichia-Shigella",0.0258331058593439,0.148936170212766,7,1,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,36
"Cellulomonas",0.0223809436162434,0.127659574468085,6,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,37
"Pseudactinotalea",0.0208150583886973,0.127659574468085,6,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,38
"Kitasatospora",0.0181556470487514,0.106382978723404,5,3,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,39
"Leucobacter",0.0172945658050656,0.0851063829787234,4,5,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,40
"Macrococcus",0.0156449696633918,0.170212765957447,8,4,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,41
"Aquabacterium",0.0147858682354152,0.170212765957447,8,4,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,42
"Comamonas",0.0147260634283867,0.0425531914893617,2,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,43
"Aurantimicrobium",0.0145325145566191,0.0425531914893617,2,2,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,44
"Streptacidiphilus",0.0143678017695411,0.0851063829787234,4,4,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,45
"Unclassified_Staphylococcaceae",0.0134726655477081,0.170212765957447,8,2,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,46
"Rhizobacter",0.012652421420373,0.170212765957447,8,8,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,47
"Piscinibacter",0.0123284398218138,0.191489361702128,9,4,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,48
"Gulbenkiania",0.00962741888899586,0.0212765957446809,1,1,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,49
"Leptothrix",0.00853726171217622,0.106382978723404,5,4,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,50
"Methylibium",0.00843027237747365,0.0851063829787234,4,3,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,51
"Empedobacter",0.00829655659048728,0.0638297872340425,3,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,52
"Bacillus",0.00790988007759638,0.106382978723404,5,2,100,100,1.71665925349313e-05,TRUE,0.00848024339456087,NA,NA,NA,"inhibitory",FALSE,FALSE,53
"Lysinibacillus",0.00743639312534174,0.106382978723404,5,3,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,54
"Luteimonas",0.00740245082965134,0.127659574468085,6,4,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,55
"Pseudarthrobacter",0.0066167653459523,0.0638297872340425,3,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,56
"Kosakonia",0.00659667631671685,0.0212765957446809,1,1,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,57
"Shinella",0.00630996645192499,0.0425531914893617,2,3,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,58
"Achromobacter",0.0059930738196094,0.0851063829787234,4,2,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,59
"Helcobacillus",0.00596693423394261,0.0212765957446809,1,1,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,60
"Actinotalea",0.00561724513034382,0.0638297872340425,3,2,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,61
"Pseudoclavibacter",0.0052119914508063,0.0851063829787234,4,3,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,62
