"KSM_rank","Genus","KSM","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Prevalence","Mean_relative_abundance_percent","ANCOMBC2_q","ANCOMBC2_robust_FDR05","ALDEx2_q","ALDEx2_FDR05","Cross_method_support"
1,"Staphylococcus",0.6725768321513,0.634332151300236,0.800876674546887,1,0.702127659574468,1.16502177896074,2.78695313951713e-05,TRUE,0.00345334006383875,TRUE,"ANCOM-BC2 + ALDEx2"
2,"Acinetobacter",0.670921985815603,0.60551024428684,0.834913317572892,0.998,1,2.46459364101025,2.83961110079558e-09,TRUE,0.000234754654230342,TRUE,"ANCOM-BC2 + ALDEx2"
3,"Amnibacterium",0.638219070133964,0.555628447596533,0.790122143420016,0.992,0.723404255319149,0.195339111963447,NA,FALSE,0.00424407143195897,TRUE,"ALDEx2 only"
4,"Brachybacterium",0.602836879432624,0.538439716312057,0.732641843971631,0.987,0.531914893617021,0.131624696959877,NA,FALSE,0.0050706551166916,TRUE,"ALDEx2 only"
5,"Unclassified_Alcaligenaceae",0.600788022064618,0.55105791962175,0.748703703703704,0.99,0.51063829787234,0.785008710681923,NA,FALSE,0.000689950281279152,TRUE,"ALDEx2 only"
6,"Unclassified_Bacillaceae",0.58360914105595,0.501637115839244,0.755793932230102,0.945,0.829787234042553,0.376798849147056,0.00236740122486571,TRUE,0.0114222479281839,TRUE,"ANCOM-BC2 + ALDEx2"
8,"Micrococcus",0.508195429472025,0.435823483057526,0.687216312056737,0.66,0.659574468085106,0.283268512884546,0.0218905866922493,TRUE,0.0588632801772167,FALSE,"ANCOM-BC2 only"
9,"Pseudomonas",0.455161544523247,0.38941292356186,0.683587470449173,0.63,0.851063829787234,0.603820427403919,0.000526287752553583,TRUE,0.0975780233727514,FALSE,"ANCOM-BC2 only"
13,"Bosea",0.39558707643814,0.331826241134752,0.63538219070134,0.281,0.617021276595745,0.0887096212061199,0.0284759829673892,TRUE,0.0496871979533777,TRUE,"ANCOM-BC2 + ALDEx2"
