"Genus","KSM","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Prevalence","Mean_relative_abundance_percent","ANCOMBC2_W","ANCOMBC2_p","ANCOMBC2_q","ANCOMBC2_robust_FDR05","ALDEx2_p","ALDEx2_q","ALDEx2_FDR05","Evidence_class","KSM_rank"
"Staphylococcus",0.6725768321513,0.634332151300236,0.800876674546887,1,1,0.702127659574468,1.16502177896074,16.2890231485955,4.28762021464174e-06,2.78695313951713e-05,TRUE,0.000296162518451549,0.00345334006383875,TRUE,"ANCOM-BC2 + ALDEx2",1
"Acinetobacter",0.670921985815603,0.60551024428684,0.834913317572892,0.998,1,1,2.46459364101025,30.3097893579528,2.18431623138122e-10,2.83961110079558e-09,TRUE,5.54968520556002e-06,0.000234754654230342,TRUE,"ANCOM-BC2 + ALDEx2",2
"Amnibacterium",0.638219070133964,0.555628447596533,0.790122143420016,0.992,1,0.723404255319149,0.195339111963447,NA,NA,NA,FALSE,0.000415693866517642,0.00424407143195897,TRUE,"ALDEx2 only",3
"Brachybacterium",0.602836879432624,0.538439716312057,0.732641843971631,0.987,1,0.531914893617021,0.131624696959877,NA,NA,NA,FALSE,0.000548252465137864,0.0050706551166916,TRUE,"ALDEx2 only",4
"Unclassified_Alcaligenaceae",0.600788022064618,0.55105791962175,0.748703703703704,0.99,1,0.51063829787234,0.785008710681923,NA,NA,NA,FALSE,2.97996696333428e-05,0.000689950281279152,TRUE,"ALDEx2 only",5
"Unclassified_Bacillaceae",0.58360914105595,0.501637115839244,0.755793932230102,0.945,0.999,0.829787234042553,0.376798849147056,7.67218762466329,0.000910538932640659,0.00236740122486571,TRUE,0.00152748160979007,0.0114222479281839,TRUE,"ANCOM-BC2 + ALDEx2",6
"Brevibacterium",0.524980299448385,0.43841804570528,0.66852048857368,0.752,0.994,0.48936170212766,0.15995877372555,NA,NA,NA,FALSE,0.0115183900109295,0.0500710645265307,FALSE,"KSM only",7
"Micrococcus",0.508195429472025,0.435823483057526,0.687216312056737,0.66,0.99,0.659574468085106,0.283268512884546,4.90094277641775,0.0151550215561726,0.0218905866922493,TRUE,0.0138532521153526,0.0588632801772167,FALSE,"ANCOM-BC2 only",8
"Pseudomonas",0.455161544523247,0.38941292356186,0.683587470449173,0.63,0.972,0.851063829787234,0.603820427403919,9.66660778596517,0.00016193469309341,0.000526287752553583,TRUE,0.029826107215223,0.0975780233727514,FALSE,"ANCOM-BC2 only",9
"Stenotrophomonas",0.410323089046493,0.37486012608353,0.634066193853428,0.36,0.944,0.702127659574468,0.767145444569014,3.55855277919387,0.052523071866685,0.0568999945222421,FALSE,0.0370189360525179,0.113444378799639,FALSE,"KSM only",10
