"","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"220604_01",0,0.301765745543067,0.79460129555054,0.370678708102114,0.344414492607051,0.300479459744476,0.419694601405672,0.389525701515074,0.47150437561895,0.607947897375497,0.47882425658621,0.502511186658776,0.402070220476045,0.519842436854247,0.613911291842581,0.265670425898669,0.544414336912449,0.578643779749803,0.547226268604855,0.550567507701708,0.611221153070997,0.584874955650033,0.607887512819252,0.667852696491606,0.712510025263753,0.605381496737966,0.672733548811512,0.679775327263847,0.506291617774829,0.524931766532849,0.524919914802596,0.559553735398428,0.656228899176416,0.523974930761192,0.623586355654901,0.669617275413686,0.618039992330588,0.863204559134686,0.532481069257075,0.592391243181435,0.472671674498085,0.734251152584824,0.617244029095269,0.583334177698448,0.486906380882348,0.532536690798369,0.723499624412308
"220604_02",0.301765745543067,0,0.845811987281774,0.340404829152477,0.247072674494478,0.334849725669951,0.555982556931193,0.517025110689317,0.408260880743622,0.721764657570285,0.515391849362693,0.611326033271991,0.504816237204064,0.325449318988622,0.68032366154698,0.34718545080222,0.659890567229181,0.704426515301082,0.643034030786713,0.665260269518674,0.70852725689774,0.664260749782876,0.658416513462675,0.77385803876305,0.784639303630151,0.722508565325574,0.735936285279354,0.766787881469086,0.583787847420823,0.582027421448928,0.612379116658742,0.633100903118441,0.713152809484795,0.559938748222882,0.718186871705856,0.746070287101752,0.69074058854611,0.868374917514648,0.548196581450428,0.616991359303871,0.539504032089906,0.734767290171145,0.626063577309257,0.655883596063535,0.539939432090917,0.576530656971426,0.711916962147392
"220604_03",0.79460129555054,0.845811987281774,0,0.777395509230647,0.788967268562651,0.730825935764948,0.741599151115349,0.716110612684554,0.865546954826698,0.796250694116057,0.763269621294182,0.745062539346671,0.811777352127732,0.876380133727318,0.70589664847091,0.768213445571549,0.707019991934508,0.780255709314339,0.729769126741343,0.751920077212915,0.75150324594477,0.731510782011774,0.780021398554563,0.759706964592504,0.774545824279931,0.769949144038307,0.767423578520228,0.752056343783773,0.724538271147648,0.807218084486826,0.77883809316207,0.792081872746496,0.824439318425408,0.793871165535554,0.729401466758123,0.744162021838965,0.749867798969058,0.71664623278683,0.814540352075285,0.829311824292319,0.80036472121613,0.967942724536666,0.893544170608177,0.61607887667749,0.842794716685993,0.877120744767495,0.779294679026198
"220604_04",0.370678708102114,0.340404829152477,0.777395509230647,0,0.312427070037134,0.315935554439049,0.539668302947868,0.437662748225705,0.396561813785014,0.646787212761966,0.464793331626259,0.602066275464705,0.539000436089443,0.413307182710049,0.610146991019045,0.386652875767523,0.551276281079594,0.641694720234545,0.599783138112971,0.625749821762647,0.664413769134678,0.620857724216755,0.718142409846797,0.661861695283575,0.716732428555817,0.631998545663809,0.704327683289216,0.67497485069643,0.566444488018025,0.690950902652749,0.663714435304823,0.645964942787902,0.7634077570565,0.683591162460568,0.654233714852392,0.658842876964257,0.704349850570708,0.823684690823356,0.657185391572109,0.710177329001431,0.605924794518745,0.860316773397086,0.758310454116121,0.607486833132585,0.631764029315432,0.698640644915929,0.760181392890223
"220604_05",0.344414492607051,0.247072674494478,0.788967268562651,0.312427070037134,0,0.28490499040123,0.526117558683187,0.429748479819541,0.410258918750057,0.636402118445433,0.464065301275044,0.551861797163067,0.544208900754331,0.362219109825775,0.645654247166692,0.358656174559273,0.566677852935892,0.693982348213615,0.589377976286108,0.598906143822277,0.62704157006363,0.599104651142167,0.679148714410246,0.671035296287294,0.69930657310381,0.630445769147302,0.683833344291676,0.686843150677184,0.523020904231527,0.627002722963368,0.61422972526129,0.592125217490659,0.694272652057002,0.606129011746612,0.632625953839458,0.664033089097109,0.649147274869943,0.820104190342603,0.621623664683012,0.673890422043566,0.5818007454053,0.819377209189207,0.710426393554281,0.614272303041722,0.596571445051735,0.649236352477744,0.725767564611176
"220604_06",0.300479459744476,0.334849725669951,0.730825935764948,0.315935554439049,0.28490499040123,0,0.422030779931757,0.412900572516942,0.475033968109695,0.580238606152731,0.428514787281825,0.495976552020015,0.470946156027795,0.487125835375907,0.563502474449367,0.331506282102115,0.556404114771727,0.632640887027233,0.536467873128246,0.553482415564857,0.608409345516228,0.565933154301138,0.61211032582278,0.650277632191568,0.686852579738971,0.583382564067034,0.641456218154424,0.657969401000077,0.476148816684152,0.56318403962649,0.560669143331769,0.571902304165223,0.683849584530623,0.561063159009726,0.59546587765096,0.64620491823802,0.599878569270556,0.83331836173535,0.613470928134447,0.630037973451198,0.533089957302349,0.790303097110173,0.676633003647205,0.535708601426283,0.54353552546406,0.616027088329659,0.729591387304429
"220604_07",0.419694601405672,0.555982556931193,0.741599151115349,0.539668302947868,0.526117558683187,0.422030779931757,0,0.362340756364168,0.67727723577501,0.358995317743861,0.575801186684934,0.258188545341235,0.338310650598577,0.747162173283982,0.474778933704485,0.425804617272557,0.446881889792107,0.48133663016065,0.39912161255717,0.333592192633152,0.436555322501874,0.38888092976983,0.527631175091548,0.431715327734435,0.534979053112964,0.400709089715784,0.540270604279816,0.47925742067824,0.322749234547667,0.467561226274187,0.449470861061411,0.493093035449108,0.620399043948433,0.49063923965971,0.45730697432604,0.488213552472426,0.478572487820538,0.826272132398661,0.597327610235654,0.636660937376261,0.434276996709042,0.773720648462545,0.656574369965796,0.591120111593982,0.541589016457608,0.608116390041503,0.739763562587975
"220606_02",0.389525701515074,0.517025110689317,0.716110612684554,0.437662748225705,0.429748479819541,0.412900572516942,0.362340756364168,0,0.546647311630538,0.535122745446915,0.456974196689386,0.409035024307389,0.430033558233501,0.599511275836829,0.486164083127287,0.384235774961764,0.409767289970137,0.506087144208248,0.442375018734097,0.491678485241295,0.476777624492195,0.440602002462203,0.62087452960288,0.478200768684867,0.524006287012898,0.471960782063783,0.557795127361561,0.480217976424247,0.420822021828724,0.55322980312519,0.554316567871303,0.502470521906736,0.656466587296125,0.541071021618649,0.456203387125689,0.4745038249226,0.534513527318026,0.805237162046454,0.657975822397873,0.708946199413223,0.537532799472303,0.87555986206469,0.741687695998944,0.581461948343461,0.602067438386839,0.667148695421318,0.782741122961407
"220606_04",0.47150437561895,0.408260880743622,0.865546954826698,0.396561813785014,0.410258918750057,0.475033968109695,0.67727723577501,0.546647311630538,0,0.777808922094266,0.558966804920672,0.741198247486377,0.665852919551667,0.403943829318986,0.728703933125877,0.495634369756198,0.648625060770691,0.685044209157303,0.719614850294051,0.77622761297981,0.781541709646924,0.741626645018511,0.816662542602728,0.774893440436488,0.81101079111362,0.780390900627016,0.794557580443014,0.808608966167443,0.695101801062645,0.779968473485074,0.801106815435782,0.730701937620463,0.812793815128351,0.746023661536757,0.755026510823258,0.785383087220768,0.822013741816472,0.866075996296741,0.757829095580896,0.799611007015013,0.761808461818101,0.89785497015075,0.82734740994874,0.718206830814294,0.742657326479604,0.769387225555394,0.841008231420808
"220607_01",0.607947897375497,0.721764657570285,0.796250694116057,0.646787212761966,0.636402118445433,0.580238606152731,0.358995317743861,0.535122745446915,0.777808922094266,0,0.618111238600826,0.378807692380678,0.507699866247372,0.851293584047499,0.511363673823385,0.610814687287769,0.572242477895207,0.511089897340376,0.494688562548752,0.391204733269827,0.478968505380575,0.423896586161511,0.546494371231617,0.401062924288706,0.57003950715865,0.386433699521031,0.490815899380801,0.483496174312259,0.50140130526872,0.584829011386653,0.525732156079538,0.615777933154519,0.646279093918072,0.624663729911609,0.530985474954617,0.572004990117774,0.59187876064874,0.865225403779527,0.780201093050454,0.781503620623805,0.604176410093832,0.845346667277923,0.779886297100281,0.733635501163719,0.726581036928644,0.785531482515136,0.809080976599596
