Sample.ID,Species,Life.stage,Sex,Body.mass_g,Country,Province,Locality,Lat,Long,Sampling.date,Sampling.season,Days.past.rain,Sample.type
220708_07,Agalychnis callidryas,Adult,Male,2.46,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_08,Agalychnis callidryas,Adult,Male,3.42,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_09,Agalychnis callidryas,Adult,Male,2.50,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_10,Agalychnis callidryas,Adult,Male,3.00,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
250607_01,Agalychnis callidryas,Adult,Male,5.89,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_02,Agalychnis callidryas,Adult,Male,5.85,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_03,Agalychnis callidryas,Adult,Male,5.02,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_04,Agalychnis callidryas,Adult,Male,5.16,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_05,Agalychnis callidryas,Adult,Male,5.32,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_06,Agalychnis callidryas,Adult,Male,5.29,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_07,Agalychnis callidryas,Adult,Male,6.57,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_08,Agalychnis callidryas,Adult,Male,5.40,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_09,Agalychnis callidryas,Adult,Male,5.16,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
250607_10,Agalychnis callidryas,Adult,Male,5.02,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
NEG-6,NEG,,,,,,,,,,,,negative control swab
NEG-7,NEG,,,,,,,,,,,,negative control swab
NEG-8,NEG,,,,,,,,,,,,negative control swab
MC-2,MC,,,,,,,,,,,,mock community
MC-3,MC,,,,,,,,,,,,mock community
NTC-2,NTC,negative controls,,,,,,,,,,,no template control
NTC-3,NTC,,,,,,,,,,,,no template control
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
