"k","mean_silhouette","mean_bootstrap_Jaccard","minimum_cluster_Jaccard","minimum_cluster_size","cluster_sizes"
2,0.109230215648052,0.910068543162753,0.884891120831353,15,"32;15"
3,0.0781041106802879,0.702208721609835,0.600582866500843,11,"22;11;14"
4,0.0635935907940859,0.609097948544105,0.448646516795898,7,"7;11;15;14"
5,0.0747122686635056,0.585284475643036,0.471091501145914,8,"8;12;8;11;8"
6,0.0497765280765132,0.541024373235983,0.30905856055709,5,"8;11;6;11;5;6"
7,0.0542254203193154,0.62828387266931,0.361894372294373,1,"8;10;6;11;5;6;1"
8,0.0586355240500776,0.677290615726392,0.409178155178156,1,"8;9;1;6;11;5;6;1"
