"Community","Samples","Localities","Genera_before_filter","Genera_after_20pct_filter","ANCOMBC2_robust_among_top20","ALDEx2_FDR05_among_top20","Both_methods_among_top20"
"Whole community",47,4,1221,326,15,19,14
"Anti-Bd community",47,4,111,28,6,11,3
