"KSM_rank","Genus","KSM","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Prevalence","Mean_relative_abundance_percent","ANCOMBC2_q","ANCOMBC2_robust_FDR05","ALDEx2_q","ALDEx2_FDR05","Cross_method_support"
1,"Staphylococcus",0.6725768321513,0.636327817178881,0.8026024428684,1,0.702127659574468,1.16502177896074,0.00202505604666735,TRUE,0.00698676237190802,TRUE,"ANCOM-BC2 + ALDEx2"
2,"Acinetobacter",0.670921985815603,0.59596926713948,0.831373128447596,1,1,2.46459364101025,1.26132888790166e-08,TRUE,0.000536377836424157,TRUE,"ANCOM-BC2 + ALDEx2"
3,"Amnibacterium",0.638219070133964,0.558944050433412,0.782927501970055,0.992,0.723404255319149,0.195339111963447,NA,FALSE,0.00166970796019992,TRUE,"ALDEx2 only"
4,"Brachybacterium",0.602836879432624,0.543402285263987,0.731916863672183,0.983,0.531914893617021,0.131624696959877,NA,FALSE,0.00752751661337707,TRUE,"ALDEx2 only"
5,"Unclassified_Alcaligenaceae",0.600788022064618,0.5475768321513,0.746808510638298,0.98,0.51063829787234,0.785008710681923,NA,FALSE,0.000699260023627769,TRUE,"ALDEx2 only"
6,"Unclassified_Bacillaceae",0.58360914105595,0.485894405043341,0.754694641449961,0.935,0.829787234042553,0.376798849147056,0.25702440623077,FALSE,0.009613109363817,TRUE,"ALDEx2 only"
7,"Brevibacterium",0.524980299448385,0.438057525610717,0.661873522458629,0.735,0.48936170212766,0.15995877372555,NA,FALSE,0.0456922358675891,TRUE,"ALDEx2 only"
8,"Micrococcus",0.508195429472025,0.429024822695036,0.68165878644602,0.698,0.659574468085106,0.283268512884546,0.114260351297383,FALSE,0.0424830914320375,TRUE,"ALDEx2 only"
9,"Pseudomonas",0.455161544523247,0.386361308116627,0.700557525610717,0.586,0.851063829787234,0.603820427403919,0.000267092039591147,TRUE,0.101612480845125,FALSE,"ANCOM-BC2 only"
