"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support"
"Sphingobium","Whole community",0.415208825847124,0.723404255319149,34,0.166931589052278,FALSE,0.485618597320725,0.360983057525611,0.641310086682427,0.002,0.004,1000,121,TRUE,0.00316271743455261,0.0211258277348266,TRUE,"Both","ANCOM-BC2 + ALDEx2"
"Unclassified_Microbacteriaceae","Whole community",0.4150512214342,0.723404255319149,34,0.160113804886365,TRUE,0.517612293144208,0.406345547675335,0.634761623325453,0,0.003,1000,122,FALSE,0.00578155824646901,0.432317657449177,FALSE,"Neither","KSM only"
"Unclassified_Myxococcaceae","Whole community",0.4150512214342,0.382978723404255,18,0.0154173909529749,FALSE,0.482151300236407,0.368238770685579,0.588317572892041,0,0,1000,123,FALSE,NA,0.0634190425882714,FALSE,"Neither","KSM only"
"Rhodopila","Whole community",0.414972419227738,0.48936170212766,23,0.0707833094591953,FALSE,0.468676122931442,0.343808116627266,0.603120567375886,0,0,1000,124,FALSE,NA,0.496126707405591,FALSE,"Neither","KSM only"
"Candidatus Megaira","Whole community",0.414736012608353,0.276595744680851,13,0.0853404398526685,FALSE,0.428920409771474,0.270202915681639,0.592198581560284,0,0,1000,125,FALSE,NA,0.229314697539515,FALSE,"Neither","KSM only"
"Prevotella_7","Whole community",0.413632781717888,0.382978723404255,18,0.0177696083959999,FALSE,0.445981087470449,0.309296690307329,0.574645390070922,0,0.001,1000,126,FALSE,NA,0.0439953454084586,TRUE,"ALDEx2 only","ALDEx2 only"
"Terriglobus","Whole community",0.413553979511426,0.723404255319149,34,0.150356292835538,FALSE,0.480929866036249,0.402352245862884,0.600161544523247,0,0,1000,127,TRUE,0.01338001245688,0.412851516834657,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Rubellimicrobium","Whole community",0.411032308904649,0.51063829787234,24,0.0584087517486965,FALSE,0.459810874704492,0.30021670606777,0.615813632781718,0,0.002,1000,128,FALSE,NA,0.310424960358837,FALSE,"Neither","KSM only"
"Pseudomonas","Whole community",0.408116627265564,0.936170212765957,44,1.23456419278461,TRUE,0.499645390070922,0.358232860520095,0.654028762805358,0,0.002,1000,129,TRUE,7.24645824593032e-06,0.0343949729890745,TRUE,"Both","ANCOM-BC2 + ALDEx2"
"Cytophaga","Whole community",0.406382978723404,0.276595744680851,13,0.0692329121722193,FALSE,0.428920409771474,0.280910165484634,0.575902285263987,0,0,1000,130,FALSE,NA,0.222870081199474,FALSE,"Neither","KSM only"
"Luteibacter","Whole community",0.404649330181245,0.425531914893617,20,0.0985823837948575,TRUE,0.450118203309693,0.289903467297084,0.625799842395587,0,0.001,1000,131,FALSE,NA,0.492054140435535,FALSE,"Neither","KSM only"
"Unclassified_JG30-KF-CM45","Whole community",0.40441292356186,0.74468085106383,35,0.168055948766131,FALSE,0.498463356973995,0.379980299448385,0.639369582348306,0.001,0.006,1000,132,FALSE,0.000286780779315337,0.50886023944363,FALSE,"Neither","KSM only"
