"Community","KSM_rank","Genus","KSM","KSM_bootstrap_CI_low","KSM_bootstrap_CI_high","Bootstrap_top10_frequency","Prevalence","Mean_relative_abundance_percent","Woodhams_inhibitory","ANCOMBC2_BH_q","ANCOMBC2_robust_FDR05","ALDEx2_BH_q","ALDEx2_FDR05","Evidence_class"
"Whole community",1,"Actinomycetospora",0.791016548463357,0.72167060677699,0.913317572892041,0.956,0.893617021276596,1.45284028018109,FALSE,6.78285244945724e-11,TRUE,1.76708413020742e-05,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",2,"Unclassified_Bacteria",0.760756501182033,0.670043341213554,0.90849487785658,0.907,1,11.0584441595143,TRUE,1.61371629462528e-07,TRUE,0.0235752912533015,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",3,"Methylocella",0.759416863672183,0.714365642237983,0.846335697399527,0.943,0.851063829787234,0.980463529466492,FALSE,3.01282960495093e-06,TRUE,0.00808520356965151,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",4,"Mycobacterium",0.758234830575256,0.68941292356186,0.875732860520095,0.91,0.851063829787234,0.718852797906064,FALSE,1.95973667659131e-06,TRUE,0.0102842553184371,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",5,"Jatrophihabitans",0.70882584712372,0.666503152088258,0.843829787234042,0.756,0.851063829787234,0.863740255215015,FALSE,2.49633173197384e-08,TRUE,0.00694584603752513,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",6,"Conexibacter",0.705279747832939,0.631873522458629,0.838100866824271,0.598,0.765957446808511,0.570524262385263,FALSE,1.61371629462528e-07,TRUE,0.00658473053736294,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",7,"Acinetobacter",0.692277383766745,0.628406225374311,0.856753349093775,0.672,1,2.93302449793071,TRUE,7.25611482332861e-12,TRUE,0.000143579280604393,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",8,"Acidibacter",0.689125295508274,0.619539007092199,0.79718085106383,0.416,0.574468085106383,0.0980268610800017,FALSE,NA,FALSE,0.00735335871029517,TRUE,"ALDEx2 only"
"Whole community",9,"Methylobacterium-Methylorubrum",0.653585500394011,0.614558707643814,0.819950748620962,0.412,1,1.95470123335793,FALSE,1.61292962733545e-08,TRUE,0.000856377192669841,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",10,"Amnibacterium",0.651694247438928,0.585839243498818,0.794625689519306,0.233,0.74468085106383,0.204556633563229,TRUE,NA,FALSE,0.00636802178556398,TRUE,"ALDEx2 only"
"Whole community",11,"Unclassified_Micromonosporaceae",0.642553191489362,0.567531520882585,0.755246256895193,0.117,0.595744680851064,0.145167794816891,FALSE,NA,FALSE,0.0101664489444064,TRUE,"ALDEx2 only"
